REGISTRY_ID,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL
110000912521,US NAVY NAVAL SUBMARINE BASE SAN DIEGO,13,,http://echo.epa.gov/detailed-facility-report?fid=110000912521
110070090266,ONE BROADWAY PLAZA,12,,http://echo.epa.gov/detailed-facility-report?fid=110070090266
110000517913,SD CITY OF PT LOMA WASTEWATER TREATMENT PLANT,12,,http://echo.epa.gov/detailed-facility-report?fid=110000517913
110070095748,OLD COACH VINEYARDS & WINERY,11,,http://echo.epa.gov/detailed-facility-report?fid=110070095748
110070094006,SAN DIEGO VESSEL MAINTENANCE FACILITY,11,,http://echo.epa.gov/detailed-facility-report?fid=110070094006
110017860894,SEAWORLD SAN DIEGO,11,,http://echo.epa.gov/detailed-facility-report?fid=110017860894
110070089639,POWAY USD TRANSPORTATION,10,,http://echo.epa.gov/detailed-facility-report?fid=110070089639
110070095649,RUSTY SURFBOARDS,7,,http://echo.epa.gov/detailed-facility-report?fid=110070095649
110070089718,EDCO DISPOSAL CORP,7,,http://echo.epa.gov/detailed-facility-report?fid=110070089718
110006783098,SCRIPPS INSTITUTION OF OCEANOGRAPHY,6,,http://echo.epa.gov/detailed-facility-report?fid=110006783098
110066469486,QUATRO COMPOSITES,5,,http://echo.epa.gov/detailed-facility-report?fid=110066469486
110018999994,NAVAL AMPHIBIOUS BASE CORONADO,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110018999994
110070089724,PALL FILTRATION  SEPARATIONS,3,,http://echo.epa.gov/detailed-facility-report?fid=110070089724
110010061333,KYOCERA AMERICA,2,,http://echo.epa.gov/detailed-facility-report?fid=110010061333
110070094737,DEXCOM,2,,http://echo.epa.gov/detailed-facility-report?fid=110070094737
110002624447,INOVA DIAGNOSTICS,1,,http://echo.epa.gov/detailed-facility-report?fid=110002624447
110070090200,SAN DIEGO CRATING AND PACKING,1,,http://echo.epa.gov/detailed-facility-report?fid=110070090200
110070095778,BRIDGE WINERY,1,,http://echo.epa.gov/detailed-facility-report?fid=110070095778
110070097657,INTEGRA LIFESCIENCES,1,,http://echo.epa.gov/detailed-facility-report?fid=110070097657
110066033143,NEXUS DX,1,,http://echo.epa.gov/detailed-facility-report?fid=110066033143
