,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
137778,LEHIGH SOUTHWEST CEMENT COMPANY,12,15.0,http://echo.epa.gov/detailed-facility-report?fid=110000484039,37.3181,-122.091
102531,TOWNE FORD,12,,http://echo.epa.gov/detailed-facility-report?fid=110018858100,37.479449,-122.22586
91140,PALO ALTO REGIONAL WATER QUALITY CONTROL PLANT,0,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000906556,37.458333,-122.110833
36111,"GAS RECOVERY SYSTEMS, INC",0,,http://echo.epa.gov/detailed-facility-report?fid=110010466806,37.47324,-122.18879
37578,PENINSULA FORD,0,,http://echo.epa.gov/detailed-facility-report?fid=110018862612,37.411222,-122.12408700000002
53734,COSTCO WHOLESALE #470,0,,http://echo.epa.gov/detailed-facility-report?fid=110002913349,37.25427,-121.87582
56525,"PACIFIC AEROSPACE SERVICES, INC",0,,http://echo.epa.gov/detailed-facility-report?fid=110020579685,37.275947,-121.94304
75377,GOOGLE LLC,0,,http://echo.epa.gov/detailed-facility-report?fid=110038062244,37.42307,-122.08421
91642,CITY OF PALO ALTO LANDFILL,0,,http://echo.epa.gov/detailed-facility-report?fid=110007032521,37.44787,-122.10351
123101,BELL INDUSTRIES,0,,http://echo.epa.gov/detailed-facility-report?fid=110000482406,37.42872,-122.09808
125907,"GUADALUPE ENERGY HOLDINGS, LLC",0,,http://echo.epa.gov/detailed-facility-report?fid=110006533037,37.20948,-121.89999
127759,ALL AUTOMOTIVE,0,,http://echo.epa.gov/detailed-facility-report?fid=110001196508,37.42659,-122.09901
164469,SHORELINE AMPHITHEATRE,0,,http://echo.epa.gov/detailed-facility-report?fid=110001196562,37.42336,-122.07795
181866,GUADALUPE DISPOSAL SITE LANDFILL,0,,http://echo.epa.gov/detailed-facility-report?fid=110034187378,37.20948,-121.89999
182524,CITY OF MOUNTAIN VIEW (SHORELINE),0,,http://echo.epa.gov/detailed-facility-report?fid=110001179714,37.43319,-122.08271
193863,CARDINAL COGEN,0,,http://echo.epa.gov/detailed-facility-report?fid=110028034133,37.43055,-122.17603
227562,CITY OF SANTA CRUZ SANITARY LANDFILL,0,,http://echo.epa.gov/detailed-facility-report?fid=110012694209,36.9764,-122.1054
249757,SLAC NATIONAL ACCELERATOR LABORATORY,0,,http://echo.epa.gov/detailed-facility-report?fid=110000908475,37.42125,-122.20422
282050,NATIONAL AERONAUTICS & SPACE ADMINIST AMES RESEARCH CENTER,0,,http://echo.epa.gov/detailed-facility-report?fid=110000495759,37.4144,-122.0593
310511,RMC PACIFIC MATERIALS (DBA CEMEX),0,,http://echo.epa.gov/detailed-facility-report?fid=110006820306,37.015627,-122.19902
