,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
137778,LEHIGH SOUTHWEST CEMENT COMPANY,12,5.0,http://echo.epa.gov/detailed-facility-report?fid=110000484039,37.3181,-122.091
73880,SCOTTS VALLEY WWTP,11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110002761388,37.041117,-122.027149
300855,DIFFRACTION OPTICS,11,,http://echo.epa.gov/detailed-facility-report?fid=110055706865,37.42579,-122.09961
33769,LANGLEY HILL QUARRY,10,,http://echo.epa.gov/detailed-facility-report?fid=110001189589,37.34118,-122.22012
61451,WOODSIDE AT SCOTTS VALLEY,10,,http://echo.epa.gov/detailed-facility-report?fid=110070091645,37.05453,-122.01333
235050,BIG BASIN ST PK WWTF,9,,http://echo.epa.gov/detailed-facility-report?fid=110055990423,37.171951,-122.22205
137734,BYINGTON VINEYARDS AND WINERY,8,,http://echo.epa.gov/detailed-facility-report?fid=110070092491,37.1697,-122.05334
183499,BEAUREGARD VINEYARDS,8,,http://echo.epa.gov/detailed-facility-report?fid=110055698035,37.04217,-122.14973
199484,LOCKHEED MARTIN SPACE SYSTEMS CO,8,,http://echo.epa.gov/detailed-facility-report?fid=110070087840,37.13473,-122.20088
13915,FOX FACTORY INC,7,,http://echo.epa.gov/detailed-facility-report?fid=110055698320,37.04651,-122.01463
79233,FOX FACTORY,7,,http://echo.epa.gov/detailed-facility-report?fid=110070095840,37.05096,-122.01231
157297,OLIVE SPRINGS QUARRY INC,5,,http://echo.epa.gov/detailed-facility-report?fid=110006657331,37.05551,-121.92444
182737,SAN LORENZO VLY SCHOOL DISTRICT,4,,http://echo.epa.gov/detailed-facility-report?fid=110070087824,37.08362,-122.07425
91140,PALO ALTO REGIONAL WATER QUALITY CONTROL PLANT,3,,http://echo.epa.gov/detailed-facility-report?fid=110000906556,37.458333,-122.110833
50365,SPACE SYSTEMS LORAL B4,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000910220,37.42779,-122.10427
21214,SPACE SYSTEMS LORAL  LLC BLDG 49,1,,http://echo.epa.gov/detailed-facility-report?fid=110041654457,37.41925,-122.09888
236250,FERNQVIST LABELING SOLUTIONS,1,,http://echo.epa.gov/detailed-facility-report?fid=110057099027,37.41984,-122.09958
268209,VIDOVICH VINEYARDS,1,,http://echo.epa.gov/detailed-facility-report?fid=110070094975,37.30888,-122.13255
95944,"3400 HILLVIEW AVENUE, PALO ALTO",0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110065560887,37.40406,-122.14876
1888,HEART O THE MOUNTAIN,0,,http://echo.epa.gov/detailed-facility-report?fid=110070095854,37.089053,-121.983774
