,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
90590,MORONGO CASINO COGENERATION FACILITY,12,,http://echo.epa.gov/detailed-facility-report?fid=110017844715,33.919253999999995,-116.794527
50975,WILDFLOWER ENERGY INDIGO,0,,http://echo.epa.gov/detailed-facility-report?fid=110015634642,33.910183,-116.54536
116655,CPV SENTINEL ENERGY PROJ,0,,http://echo.epa.gov/detailed-facility-report?fid=110043534388,33.934166999999995,-116.57138799999998
126714,DESERT VIEW POWER LLC,0,,http://echo.epa.gov/detailed-facility-report?fid=110022450729,33.586,-116.088
132740,SAN JACINTO VALLEY RWRF,0,,http://echo.epa.gov/detailed-facility-report?fid=110041963952,33.734949,-117.006669
144974,RIO VISTA (HOUSING DEVELOPMENT),0,,http://echo.epa.gov/detailed-facility-report?fid=110014324089,33.85203,-116.4757
156593,BLYTHE ENERGY POWER PLANT,0,,http://echo.epa.gov/detailed-facility-report?fid=110015714912,33.615781,-114.685786
184297,PRO FLOW HEATING & COOLING,0,,http://echo.epa.gov/detailed-facility-report?fid=110022882549,33.74381,-116.98422
205588,MODERN GINNING CO,0,,http://echo.epa.gov/detailed-facility-report?fid=110002415690,33.58856,-114.59735
228308,SOUTHERN CALIFORNIA GAS COMPANY BLYTHE STATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110001186859,33.60344,-114.64339
288953,SKYLINE HOMES INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110000479704,33.77302,-116.96534
292431,SHADOW HILLS (HOUSING DEVELOPMENT),0,,http://echo.epa.gov/detailed-facility-report?fid=110014324105,33.75837,-116.26907
302939,DEL ORO (HOUSING DEVELOPMENT),0,,http://echo.epa.gov/detailed-facility-report?fid=110014324123,33.7217,-116.29753
313429,EDELBROCK FOUNDRY CORP,0,,http://echo.epa.gov/detailed-facility-report?fid=110002415752,33.77438,-116.96763
313570,IMPERIAL IRRIGATION DISTRICT/COACHELLA,0,,http://echo.epa.gov/detailed-facility-report?fid=110040489842,33.675425,-116.170035
