,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
106273,SANDERS COMPOSITES INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110002945065,32.81627,-117.12347
113090,VALLEY METALS,12,,http://echo.epa.gov/detailed-facility-report?fid=110018977142,32.93731,-117.04418
113726,SONY ELECTRONICS INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110000479018,33.013040000000004,-117.08791
152564,COBHAM ADVANCED ELECTRONIC SOLUTIONS INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110002690179,32.837920000000004,-117.12532
262834,HAMILTON SUNDSTRAND POWER SYSTEMS,12,,http://echo.epa.gov/detailed-facility-report?fid=110000887817,32.82035,-117.12717
307537,K TUBE CORPORATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110002928789,32.93492,-117.03997
188908,US NAVY NAVAL AIR STATION NORTH ISLAND,9,,http://echo.epa.gov/detailed-facility-report?fid=110025232905,32.698333,-117.209444
61231,PRESIDIO COMPONENTS,7,,http://echo.epa.gov/detailed-facility-report?fid=110011653451,32.88369,-117.16765
67502,SOLAR TURBINES INC.,3,,http://echo.epa.gov/detailed-facility-report?fid=110000478741,32.727701,-117.175367
216303,IMS ELECTRONICS RECYCLING,2,2.0,http://echo.epa.gov/detailed-facility-report?fid=110065369835,32.94027,-117.05336
140254,SHEFFIELD PLATERS INC,2,,http://echo.epa.gov/detailed-facility-report?fid=110002801246,32.90353,-117.17911
202762,SAINT GOBAIN SOLAR GARD LLC,2,,http://echo.epa.gov/detailed-facility-report?fid=110000478947,32.824396,-117.125672
120808,"TRANSPERE, LLC.",1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070260446,32.93959,-117.05365
140368,GENERAL ATOMICS ASI,1,,http://echo.epa.gov/detailed-facility-report?fid=110020574118,32.95913,-117.09541000000002
258730,SAN DIEGO GAS & ELECTRIC MIRAMAR,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000609994,32.876417,-117.168867
41,EURO AUTO SPOT,0,,http://echo.epa.gov/detailed-facility-report?fid=110066088441,32.8876,-117.15665
270,STAR RADIATOR,0,,http://echo.epa.gov/detailed-facility-report?fid=110002657214,32.71298,-117.14857
352,SDUSD - SCRIPPS RANCH HIGH SCHOOL,0,,http://echo.epa.gov/detailed-facility-report?fid=110065459006,32.90895,-117.113822
445,HANS FOREIGN INC.,0,,http://echo.epa.gov/detailed-facility-report?fid=110002719737,32.7479,-117.19868999999998
531,AMIRA PHARMACEUTICALS INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110002911733,32.90291,-117.18274
