,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
97309,DISCOVERY BAY WWTP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110001103911,37.894722,-121.587222
307463,BRENTWOOD WASTEWATER TREATMENT PLANT,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110055699882,37.95811,-121.686655
8299,GEIGER MANUFACTURING INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110066607620,37.94757,-121.274
12814,ARYZTA LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110070088960,37.97156,-121.24465
17992,CLEAN PLANET INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110070096148,37.943022,-121.328666
22993,CENTRAL CA TRACTION CO,12,,http://echo.epa.gov/detailed-facility-report?fid=110070088987,37.9485,-121.32103
25273,BRIDGEHEAD MARINE SERVICES,12,,http://echo.epa.gov/detailed-facility-report?fid=110013845456,38.017015,-121.753856
47298,TOKAY VALLEY RECYCLING INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110057079085,38.13272,-121.2518
50380,48FORTY PALLET SOLUTIONS,12,,http://echo.epa.gov/detailed-facility-report?fid=110070097383,38.01168,-121.77582
50497,ASSOCIATED TRACTOR SERVICE,12,,http://echo.epa.gov/detailed-facility-report?fid=110002861760,37.93481,-121.30501
66585,CAPTIVE PLASTICS INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110070090488,37.79686,-121.28934
68446,PELORIA PARADISE POINT LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110070096943,38.0452,-121.4184
123977,AG INDUSTRIAL MANUFACTURING,12,,http://echo.epa.gov/detailed-facility-report?fid=110070088984,38.132789,-121.256971
140660,IRONHOUSE SD WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110037253281,37.99783,-121.70746
175298,LIVE OAK ESTATES,12,,http://echo.epa.gov/detailed-facility-report?fid=110070092501,38.27461,-121.32829
203749,STOCKTON TERMINAL  EASTERN RAILROAD,12,,http://echo.epa.gov/detailed-facility-report?fid=110070088959,37.976494,-121.245789
213249,NEW STAR PALLET INCORPORATED,12,,http://echo.epa.gov/detailed-facility-report?fid=110055856872,37.96187000000001,-121.26304
222281,SHEPARD BROS INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110070094212,37.91048,-121.23389
242806,M  R METAL SALES INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110070088980,38.13401,-121.24839
289769,SUMIDEN WIRE,12,,http://echo.epa.gov/detailed-facility-report?fid=110070088952,37.97851,-121.27893
