,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
612,HOMALITE DIV OF BRANDYWINE INV GROUP,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110002506823,39.73035,-75.58083
3617,BLOOM ENERGY MANUFACTURING CENTER DELAWARE,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110063754744,39.672168,-75.708308
2342,PROCINO PLATING,12,,http://echo.epa.gov/detailed-facility-report?fid=110001736186,38.63034,-75.60891
2701,CHEMOURS RED LION PLANT,7,1.0,http://echo.epa.gov/detailed-facility-report?fid=110056958369,39.59812,-75.63718
217,DELAWARE MEMORIAL BRIDGE,6,,http://echo.epa.gov/detailed-facility-report?fid=110046256788,39.681667,-75.58555600000003
2779,HOMALITE,6,,http://echo.epa.gov/detailed-facility-report?fid=110070458485,39.6446,-75.59491
2058,GARDNER-GIBSON INC.,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110057472596,38.63146,-75.62163000000002
3160,BASF CORP,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110041998005,39.71161,-75.60906
3497,E I DUPONT DE NEMOURS - EXPERIMENTAL STATION,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000771807,39.7732,-75.5736
2026,"SHOOTERS CHOICE - 5105 NORTH DUPONT HIGHWAY, DOVER",5,,http://echo.epa.gov/detailed-facility-report?fid=110002514119,39.166093,-75.495941
2075,"RMR DELAWARE, LLC",4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070630807,39.74558,-75.50235
3097,NORAMCO,4,,http://echo.epa.gov/detailed-facility-report?fid=110000338741,39.73773,-75.53979
314,"FAMILY DOLLAR STORES OF DE, LLC. #4075",3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110059664652,39.733844,-75.576123
2229,"CLARIOS, LLC - MIDDLETOWN ASSEMBLY PLANT",3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000338590,39.457045,-75.722236
90,"AMPLIFIED GEOCHEMICAL IMAGING, LLC - PENCADER INDUSTRIAL PARK",3,,http://echo.epa.gov/detailed-facility-report?fid=110056511680,39.61442,-75.74953000000002
93,SHELL OIL COMPANY,3,,http://echo.epa.gov/detailed-facility-report?fid=110002508867,39.668056,-75.71777800000002
1390,PRINTPACK INC,3,,http://echo.epa.gov/detailed-facility-report?fid=110000585055,39.646903,-75.591601
1871,VERIZON DOVER SOC,3,,http://echo.epa.gov/detailed-facility-report?fid=110031294356,39.140333,-75.525727
3473,ROYAL FARMS STORE 125 - SEAFORD,3,,http://echo.epa.gov/detailed-facility-report?fid=110050409483,38.63984,-75.5944
3652,ASDI INC,3,,http://echo.epa.gov/detailed-facility-report?fid=110018869704,39.6594,-75.7808
