,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
54580,"PAW MATERIALS, INC.",5,3.0,http://echo.epa.gov/detailed-facility-report?fid=110015676758,28.19295,-82.580189
40949,"KIMBALL ELECTRONICS TAMPA, INC.",4,,http://echo.epa.gov/detailed-facility-report?fid=110021362791,28.06233,-82.648331
55426,"MI METALS, INC.",2,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000365756,28.044238,-82.66093599999998
80059,"TLC PROPERTY MAINTENANCE, INC",0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110055592684,28.14088,-82.62125
154,"GLOBAL GLASS POOLS, INC.",0,,http://echo.epa.gov/detailed-facility-report?fid=110028258089,28.27846,-82.70415
2851,B E T ER MIX INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110039626713,28.211233,-82.165713
3427,"DUCKWORTH STEEL BOATS, INC.",0,,http://echo.epa.gov/detailed-facility-report?fid=110021346881,28.158307,-82.762408
3801,PROGRESS ENERGY FLORIDA - HIGGINS PLANT,0,,http://echo.epa.gov/detailed-facility-report?fid=110006530762,28.003529,-82.661276
7193,SUNCOAST CLEANERS/VILAS PATEL,0,,http://echo.epa.gov/detailed-facility-report?fid=110031034663,28.22038,-82.6662
7819,AJAX PAVING INDUSTRIES OF FLORIDA LLC,0,,http://echo.epa.gov/detailed-facility-report?fid=110007390741,28.190556,-82.624444
8821,ARGOS USA,0,,http://echo.epa.gov/detailed-facility-report?fid=110027950741,28.32909,-82.31721
9312,ASTRA PRODUCTS CO INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110001766982,28.046678000000004,-82.68271
11280,MIKES AUTO BODY,0,,http://echo.epa.gov/detailed-facility-report?fid=110006392938,28.433658,-82.56144499999998
11642,NIELSEN MEDIA RESEARCH,0,,http://echo.epa.gov/detailed-facility-report?fid=110039628819,28.04604,-82.65637
12046,STAMAS YACHT INC.,0,,http://echo.epa.gov/detailed-facility-report?fid=110000365783,28.151999,-82.763198
12612,JAMES CARSTAR COLLISION,0,,http://echo.epa.gov/detailed-facility-report?fid=110061075385,28.10171,-82.739879
14740,FAITHFUL FRIENDS PET CREMATION LLC,0,,http://echo.epa.gov/detailed-facility-report?fid=110039626722,28.23348,-82.17947
15946,GAUSE BUILT MARINE INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110021361168,28.171111,-82.767155
17843,ELECTROLAB II INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110017621769,28.040943,-82.655869
18162,A PLUS CONCRETE LLC,0,,http://echo.epa.gov/detailed-facility-report?fid=110056302406,28.19136,-82.5822
