,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
89387,INTERNATIONAL AUTO PARTS RECYCLING LLC,12,4.0,http://echo.epa.gov/detailed-facility-report?fid=110064211099,28.34533,-82.50286
48327,AGEMY FAMILY CORPORATION,5,,http://echo.epa.gov/detailed-facility-report?fid=110007481215,28.040093,-82.64784300000002
17843,ELECTROLAB II INC,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110017621769,28.040943,-82.655869
58544,INNEVAPE LLC,4,,http://echo.epa.gov/detailed-facility-report?fid=110070594244,28.40369,-82.65339
40332,OC MANAGEMENT INC,2,,http://echo.epa.gov/detailed-facility-report?fid=110069516474,28.03908,-82.65991
14531,BUDDY FOSTER COLLISION & TOWING CENTER INC,1,,http://echo.epa.gov/detailed-facility-report?fid=110008326221,28.229596,-82.207717
17864,TARGET STORE T0655,1,,http://echo.epa.gov/detailed-facility-report?fid=110031389655,28.089141,-82.504719
22825,LOWES OF LAND O' LAKES FL #2238,1,,http://echo.epa.gov/detailed-facility-report?fid=110070431467,28.190121,-82.460288
60145,"WHEELBLAST, INC.",1,,http://echo.epa.gov/detailed-facility-report?fid=110001412052,28.215198,-82.169398
66099,CARRIAGE TRADE INC,1,,http://echo.epa.gov/detailed-facility-report?fid=110007424000,28.240737,-82.184143
76409,WESLEY CHAPEL MEDICAL CENTER,1,,http://echo.epa.gov/detailed-facility-report?fid=110040327811,28.19392,-82.3534
100854,PEP BOYS STORE #1687,1,,http://echo.epa.gov/detailed-facility-report?fid=110063381512,28.186020000000006,-82.44542
102486,GORDON CHEVROLET,1,,http://echo.epa.gov/detailed-facility-report?fid=110005637748,28.10991,-82.50274
128394,TIRE KINGDOM #6106,1,,http://echo.epa.gov/detailed-facility-report?fid=110039528856,28.267636,-82.187329
490,SUNOCO SERVICE STATION #07768468,0,,http://echo.epa.gov/detailed-facility-report?fid=110012581134,28.375442,-82.19017
732,KAZAR'S FUEL OIL,0,,http://echo.epa.gov/detailed-facility-report?fid=110035585701,28.05515,-82.45944
1124,TRACTOR SUPPLY COMPANY #573,0,,http://echo.epa.gov/detailed-facility-report?fid=110060286836,28.20605,-82.67474
1306,CVS PHARMACY #3703,0,,http://echo.epa.gov/detailed-facility-report?fid=110046231564,28.193240000000007,-82.63455
2385,WINN DIXIE #644,0,,http://echo.epa.gov/detailed-facility-report?fid=110005990204,28.18252,-82.74015
2646,WAWA #5226,0,,http://echo.epa.gov/detailed-facility-report?fid=110070126010,28.185658,-82.3561
