,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
58159,LOGISTEC GULF COAST LLC,6,3.0,http://echo.epa.gov/detailed-facility-report?fid=110064744923,27.80977,-82.38428
118347,INTERNATIONAL SHIP REPAIR & MARINE,6,,http://echo.epa.gov/detailed-facility-report?fid=110010116070,27.955340000000003,-82.44031899999997
126406,ENVIROFOCUS TECHNOLOGIES LLC,5,3.0,http://echo.epa.gov/detailed-facility-report?fid=110055509043,27.96214,-82.381158
440,JOHNSON CONTROLS BATTERY GROUP INC,5,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000364374,28.043269,-82.424293
61089,CITY OF TAMPA MCKAY BAY REFUSE-TO-ENERGY FACILITY,4,2.0,http://echo.epa.gov/detailed-facility-report?fid=110012446763,27.949340000000007,-82.42098
100567,"TITAN AMERICA, LLC",4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110038018034,27.91341,-82.437327
41068,"TAMPA SHIP, LLC",3,2.0,http://echo.epa.gov/detailed-facility-report?fid=110005590235,27.926837,-82.443597
99873,BUILDING MATERIALS MANUFACTURING CORP,3,2.0,http://echo.epa.gov/detailed-facility-report?fid=110001737452,27.903476,-82.398312
16572,"ARDENT MILLS, LLC",3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001411589,27.946781,-82.450539
82437,BONSAL AMERICAN INC,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110015680878,28.00119,-82.38963000000003
118606,"CHROMALLOY CASTINGS, TAMPA CORP",3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110039574519,27.973741,-82.34666800000002
2293,ST JOSEPH HOSPITAL,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001412221,27.982339,-82.49081899999999
7643,"INDUSTRIAL GALVANIZERS AMERICA, INC.",2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110039618973,27.97201,-82.34094
1180,VERTIS COMMUNICATIONS,2,,http://echo.epa.gov/detailed-facility-report?fid=110001737513,27.896322,-82.509232
14669,HILLSBOROUGH CTY. RESOURCE RECOVERY FAC.,2,,http://echo.epa.gov/detailed-facility-report?fid=110009078327,27.95473,-82.34075
29651,MOSAIC FERTILIZER LLC - RIVERVIEW,2,,http://echo.epa.gov/detailed-facility-report?fid=110056968875,27.864473,-82.385841
73897,TAMPA STEEL ERECTING COMPANY,2,,http://echo.epa.gov/detailed-facility-report?fid=110001738424,27.893397,-82.39915
24418,"CARGILL, INC. - GRAIN DIVISION",1,,http://echo.epa.gov/detailed-facility-report?fid=110001737167,27.94962,-82.43963000000002
33808,APAC PORT OF TAMPA PLANT,1,,http://echo.epa.gov/detailed-facility-report?fid=110006814386,27.91332,-82.43728
36765,TAMPA ELECTRIC CO BIG BEND POWER STATION,1,,http://echo.epa.gov/detailed-facility-report?fid=110008319505,27.795252,-82.40320899999998
