,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
119532,LANGSTON'S USED AUTO PARTS,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110021021213,28.021833,-82.350278
6436,SUNCOAST TAMPA BAY BLOCK & READY MIX COMPANY INC,8,,http://echo.epa.gov/detailed-facility-report?fid=110043729347,27.915451,-82.397141
14356,ST PETERSBURG MATERIAL RECOVERY FACILITY,8,,http://echo.epa.gov/detailed-facility-report?fid=110063617420,27.784199,-82.6606
29651,MOSAIC FERTILIZER LLC - RIVERVIEW,8,,http://echo.epa.gov/detailed-facility-report?fid=110056968875,27.864473,-82.385841
32727,LOWRY PARK ZOO,8,,http://echo.epa.gov/detailed-facility-report?fid=110027852410,28.013472,-82.467919
32809,HENDRY CORPORATION,8,,http://echo.epa.gov/detailed-facility-report?fid=110024249909,27.93828,-82.43951
60719,CLIFF BERRY INC,8,,http://echo.epa.gov/detailed-facility-report?fid=110009693536,27.920389,-82.395234
64674,TAMPA INTERNATIONAL AIRPORT,8,,http://echo.epa.gov/detailed-facility-report?fid=110044886077,27.977093,-82.53319
72167,INDUSTRIAL GALVANIZERS TAMPA,8,,http://echo.epa.gov/detailed-facility-report?fid=110010624495,27.9725,-82.341939
72494,TAMPA INTERNATIONAL AIRPORT,8,,http://echo.epa.gov/detailed-facility-report?fid=110043731593,27.97675,-82.53315
78341,ROCKTENN TAMPA RECYCLE PLANT,8,,http://echo.epa.gov/detailed-facility-report?fid=110043734581,27.99301,-82.43051
98640,AMERICAN AIRLINES,8,,http://echo.epa.gov/detailed-facility-report?fid=110007459614,27.960048,-82.532981
99873,BUILDING MATERIALS MANUFACTURING CORP,8,,http://echo.epa.gov/detailed-facility-report?fid=110001737452,27.903476,-82.398312
126070,TAMPA STEEL & SUPPLY INC,8,,http://echo.epa.gov/detailed-facility-report?fid=110009078283,27.95728,-82.43061999999998
132041,"PEMCO WORLD AIR SERVICES, TERM",8,,http://echo.epa.gov/detailed-facility-report?fid=110043247215,27.98501,-82.52539
133226,"ACE USED AUTO PARTS WAREHOUSE, INC",8,,http://echo.epa.gov/detailed-facility-report?fid=110012754055,27.971368,-82.41077
36930,CITY OF TAMPA-WASTEWATER DEPT.,7,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000516727,27.9227,-82.4363
85515,FALKENBURG ADVANCED WASTEWATER TREATMENT PLANT,7,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000509307,27.953056,-82.341389
104434,BALIMOY MANUFACTURING COMPANY,7,,http://echo.epa.gov/detailed-facility-report?fid=110002541045,27.88989,-82.527139
114274,"MEADOW BURKE, LLC.",7,,http://echo.epa.gov/detailed-facility-report?fid=110005604373,27.909345,-82.398291
