,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
119072,BRIDG,9,,http://echo.epa.gov/detailed-facility-report?fid=110070073284,28.290833000000006,-81.3725
17642,GILL MANUFACTURING INC.,8,,http://echo.epa.gov/detailed-facility-report?fid=110067371659,28.1612,-81.60191999999998
29875,TRIUMVIRATE ENVIRONMENTAL SERVICES INC,8,,http://echo.epa.gov/detailed-facility-report?fid=110044885176,28.41775,-81.38601
41064,TIMCO,8,,http://echo.epa.gov/detailed-facility-report?fid=110062659724,28.430805,-81.31133
45803,INDEPENDENCE RECYCLING OF FLORIDA,8,,http://echo.epa.gov/detailed-facility-report?fid=110058283815,28.423540000000006,-81.37996
46518,CESSNA AIRCRAFT CO,8,,http://echo.epa.gov/detailed-facility-report?fid=110040324048,28.449968,-81.33029
57309,NEFF RENTAL,8,,http://echo.epa.gov/detailed-facility-report?fid=110013376587,28.39318,-81.40449
71331,KISSIMMEE FACILITY,8,,http://echo.epa.gov/detailed-facility-report?fid=110067437562,28.328806,-81.395861
99438,JET AIRCRAFT MAINTENANCE,8,,http://echo.epa.gov/detailed-facility-report?fid=110057187636,28.440890000000003,-81.31676999999998
105270,AIRCRAFT SERVICE INTERNATIONAL GROUP,8,,http://echo.epa.gov/detailed-facility-report?fid=110009074580,28.445427,-81.31656600000002
114927,FLORIDA JUNK CAR LLC,8,,http://echo.epa.gov/detailed-facility-report?fid=110063604648,28.40302,-81.39076999999997
127126,AIRGAS USA LLC - ORLANDO ASU/DEPOT,8,,http://echo.epa.gov/detailed-facility-report?fid=110069995983,28.42427,-81.39232
8987,TAFT RECYCING,4,,http://echo.epa.gov/detailed-facility-report?fid=110012325340,28.425179,-81.380833
23893,JANUS INTERNATIONAL,4,,http://echo.epa.gov/detailed-facility-report?fid=110070045529,28.415190000000006,-81.39094
39950,CURTIS H STANTON ENERGY CENTER,4,,http://echo.epa.gov/detailed-facility-report?fid=110025384368,28.482472,-81.165995
63581,REMOTE SORTING FACILITY,4,,http://echo.epa.gov/detailed-facility-report?fid=110070063727,28.444202,-81.29306
67980,ORLANDO INTERNATIONAL AIRPORT FUEL FACILITY,4,,http://echo.epa.gov/detailed-facility-report?fid=110009074599,28.42665,-81.33506
73014,MAGIC CARPET AVIATION INC,4,,http://echo.epa.gov/detailed-facility-report?fid=110005639504,28.420339,-81.331967
74693,STS LINE MAINTENANCE,4,,http://echo.epa.gov/detailed-facility-report?fid=110070063736,28.43004,-81.333946
77906,A & A AUTO CENTER INC,4,,http://echo.epa.gov/detailed-facility-report?fid=110013373107,28.463237,-81.274512
