,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
48728,LKQ SAVANNAH,13,,http://echo.epa.gov/detailed-facility-report?fid=110070019717,32.079883,-81.157893
73434,"FOLKSTON, CITY OF (FOLKSTON WPCP (POND))",13,,http://echo.epa.gov/detailed-facility-report?fid=110064243536,30.820649,-82.02431
21912,MCINTOSH COUNTY (MCINTOSH COUNTY WPCP),12,,http://echo.epa.gov/detailed-facility-report?fid=110010040892,31.536621000000004,-81.446432
35628,RENESSENZ LLC COLONELS ISLAND FACILITY,12,,http://echo.epa.gov/detailed-facility-report?fid=110007487059,31.108055,-81.549463
39635,BOASSO AMERICA CORPORATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110000788407,32.130778,-81.175852
41195,AMERICAN PROTEINS INC/ALMA DIV,12,,http://echo.epa.gov/detailed-facility-report?fid=110022434025,31.51621,-82.461555
47318,"SAVANNAH, CITY OF (SAVANNAH INDUSTRIAL & DOMESTIC WTP)",12,,http://echo.epa.gov/detailed-facility-report?fid=110011330880,32.149570000000004,-81.17919
81151,"SYNERGY RECYCLING, LLC",12,,http://echo.epa.gov/detailed-facility-report?fid=110064024256,30.751077,-81.554501
38166,"PINOVA, INC.",11,,http://echo.epa.gov/detailed-facility-report?fid=110056959055,31.1653,-81.4811
89120,"PRECISION PROTECTIVE COATINGS, INC.",11,,http://echo.epa.gov/detailed-facility-report?fid=110059045331,32.07819,-81.15201
45868,D.L.LEE & SONS,10,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000588347,31.536055,-82.44118900000002
1613,"MID-SOUTH FEEDS, INC.",10,,http://echo.epa.gov/detailed-facility-report?fid=110059284322,31.53935,-82.46924
2891,ARGOS - KINGSLAND READY MIX PLANT,10,,http://echo.epa.gov/detailed-facility-report?fid=110070025247,30.783240000000006,-81.63647900000002
5662,MCLENDON ELLABELL YARD,10,,http://echo.epa.gov/detailed-facility-report?fid=110070007932,32.132683,-81.4529
16648,STRENGTH OF NATURE  LLC,10,,http://echo.epa.gov/detailed-facility-report?fid=110042025867,32.05285,-81.12328000000002
20150,GEORGIA-PACIFIC LLC,10,,http://echo.epa.gov/detailed-facility-report?fid=110057772450,30.749397,-81.570367
22157,"TRUSSMART BUILDING COMPONENTS, LLC",10,,http://echo.epa.gov/detailed-facility-report?fid=110057703739,31.79562,-81.41256899999998
31085,EAST COAST TERMINAL CO.,10,,http://echo.epa.gov/detailed-facility-report?fid=110070020164,32.07782,-81.06621
36965,RICHMOND HILL CONCRETE PLANT,10,,http://echo.epa.gov/detailed-facility-report?fid=110070020348,31.938433000000003,-81.318949
43403,"CSX TRANSPORTATION, INC. (RICE YARD)",10,,http://echo.epa.gov/detailed-facility-report?fid=110000611865,31.188849,-82.383174
