,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
94140,"MAS GEORGIA LFG, LLC (RICHLAND CREEK)",4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110064025727,34.126966,-84.037068
2258,"METRO GREEN, LLC",1,,http://echo.epa.gov/detailed-facility-report?fid=110043581889,33.91118,-84.24700000000001
72932,AT&T,1,,http://echo.epa.gov/detailed-facility-report?fid=110000604506,33.91194,-84.21472
85813,"BALDWIN PAVING COMPANY, INC.",1,,http://echo.epa.gov/detailed-facility-report?fid=110013394718,34.173834,-84.13763
75187,"SFC GLOBAL SUPPLY CHAIN, INC.",0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000528830,34.031835,-84.042174
1103,MEGGIT TRAINING SYSTEMS,0,,http://echo.epa.gov/detailed-facility-report?fid=110037386263,34.06326,-84.06411
1288,AMERICAN NON-SLIP PRO,0,,http://echo.epa.gov/detailed-facility-report?fid=110001427055,34.1091,-84.1981
1451,ROHRER CORPORATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110017620966,34.100401,-84.004386
2947,"ENTERPRISE SERVICES, LLC",0,,http://echo.epa.gov/detailed-facility-report?fid=110028005940,34.0372,-84.05963
3285,SCIENTIFIC-ATLANTA IN,0,,http://echo.epa.gov/detailed-facility-report?fid=110020516878,33.936765,-84.147499
4219,TRAVELERS DATA CENTER,0,,http://echo.epa.gov/detailed-facility-report?fid=110001388686,33.963495,-84.21403000000002
4220,METRO MATERIALS INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110002011493,33.927719,-84.25408399999998
6207,CINTAS CORPORATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110069427490,33.99589,-83.95595
6554,PUBLIX ATLANTA DISTRIBUTION CTR,0,,http://echo.epa.gov/detailed-facility-report?fid=110063110618,33.989706,-83.93933100000002
8358,NIX & MILLER INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110005690877,34.126806,-84.01386600000002
8539,CEDAR MOUNTAIN RUSTIC,0,,http://echo.epa.gov/detailed-facility-report?fid=110007250241,34.24754,-84.11433000000002
8598,HYUNDAI CONSTRUCTION EQUIPMENT USA,0,,http://echo.epa.gov/detailed-facility-report?fid=110054085556,33.94428,-84.22941
8885,US POSTAL SERVICE,0,,http://echo.epa.gov/detailed-facility-report?fid=110006362569,33.957808,-84.093976
9227,NORTH SIDE FOODS CORP GEORGIA DIV,0,,http://echo.epa.gov/detailed-facility-report?fid=110015769998,34.19186,-84.15108000000002
9460,"AD-TECH INTERNATIONAL, INC.",0,,http://echo.epa.gov/detailed-facility-report?fid=110044955723,33.921358000000005,-84.26035
