,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
18574,CONTINENTAL CEMENT COMPANY,12,,http://echo.epa.gov/detailed-facility-report?fid=110067194262,41.460833,-90.690556
5700,GRAIN PROCESSING CORP,6,,http://echo.epa.gov/detailed-facility-report?fid=110017404548,41.3981,-91.0611
6563,BIG RIVER RESOURCES,2,,http://echo.epa.gov/detailed-facility-report?fid=110014396858,40.830643,-91.220425
19751,LINWOOD MINING & MINERALS  LIME PLANT,2,,http://echo.epa.gov/detailed-facility-report?fid=110001323951,41.46346,-90.68519
105,PAUL MUELLER COMPANY,1,,http://echo.epa.gov/detailed-facility-report?fid=110000412811,41.02471,-93.79055
6027,CARGILL INC,1,,http://echo.epa.gov/detailed-facility-report?fid=110017436130,41.16226,-92.6361
6804,LAMONI MUNICIPAL UTILITIES,1,,http://echo.epa.gov/detailed-facility-report?fid=110010029922,40.62319,-93.93444
7939,SIVYER STEEL CORP,1,,http://echo.epa.gov/detailed-facility-report?fid=110000415603,41.523892,-90.486162
10153,NATURAL GAS PIPELINE CO OF AMER-STA 109,1,,http://echo.epa.gov/detailed-facility-report?fid=110005749324,41.3567,-92.0572
11453,NATURAL GAS PIPELINE CO. OF AMERICA - STATION 204,1,,http://echo.epa.gov/detailed-facility-report?fid=110036351051,41.234218,-91.349914
13169,ROQUETTE AMERICA INC,1,,http://echo.epa.gov/detailed-facility-report?fid=110000415505,40.3881,-91.398
13736,MONSANTO CO,1,,http://echo.epa.gov/detailed-facility-report?fid=110018869474,41.350469,-91.081619
17022,CLIMAX MOLYBDENUM COMPANY,1,,http://echo.epa.gov/detailed-facility-report?fid=110017769244,40.5826,-91.4261
17861,NICHOLS ALUMINUM LLC - DAVENPORT,1,,http://echo.epa.gov/detailed-facility-report?fid=110000742563,41.49686,-90.64587
20162,AJINOMOTO HEARTLAND INC,1,,http://echo.epa.gov/detailed-facility-report?fid=110035869165,41.143573,-92.647934
40,FEINBERG SCRAP IRON,0,,http://echo.epa.gov/detailed-facility-report?fid=110017715212,40.62571,-91.33024
78,DMS INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110012620832,41.00662,-91.95866
125,SODERBERG OPTICAL,0,,http://echo.epa.gov/detailed-facility-report?fid=110001362427,41.5821,-90.57164
136,MERCY MEDICAL CENTER,0,,http://echo.epa.gov/detailed-facility-report?fid=110001331103,41.839568,-90.214202
190,MAHASKA VETERINARY CLINIC,0,,http://echo.epa.gov/detailed-facility-report?fid=110017648991,41.29607,-92.61141
