,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
40738,GERRESHEIMER GLASS INC,7,,http://echo.epa.gov/detailed-facility-report?fid=110000432443,41.50998,-87.61883
63304,BASF CHEMICALS,6,2.0,http://echo.epa.gov/detailed-facility-report?fid=110043972207,41.085542,-87.880542
63240,IKO MIDWEST INC,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110018075946,41.0878,-87.8746
24693,IMPERIAL ZINC CORP,2,,http://echo.epa.gov/detailed-facility-report?fid=110000434879,41.70676,-87.597904
10508,CHICAGO HEIGHTS PROCESSING,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070106376,41.48855,-87.61608000000003
10523,AMERICAN SWEETENER CORP,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110002352472,41.661905,-87.567245
11870,NB COATINGS INC,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000888718,41.584935,-87.548243
37449,PPL UNIVERSITY PARK LLC,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110015743800,41.443046,-87.751719
44561,FATO FIBERGLASS CO,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001357040,41.111536,-87.965761
51595,ARDEX AMERICAS,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110018079274,41.15877800000001,-87.86009399999998
72953,ABILITY ENGINEERING,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001819676,41.601624,-87.629855
77055,ENGINEERED POLYMER SOLUTIONS DBA VALSPAR,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000771905,41.515591,-87.62570699999998
85271,NACME STEEL PROCESSING LLC,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000434897,41.66138400000001,-87.63264699999998
6647,"KINDER MORGAN LIQUIDS TERMINALS, LLC",1,,http://echo.epa.gov/detailed-facility-report?fid=110009368996,41.669912,-87.579222
14989,ACCURATE DISPERSIONS,1,,http://echo.epa.gov/detailed-facility-report?fid=110014401067,41.614283,-87.62181600000002
26487,GRANT PARK COOPERATIVE GRAIN CO,1,,http://echo.epa.gov/detailed-facility-report?fid=110010389748,41.239326,-87.643974
27399,LAFARGE MIDWEST INC,1,,http://echo.epa.gov/detailed-facility-report?fid=110001291423,41.659603,-87.5709
41942,OAKLAND MEMORY LANES INC,1,,http://echo.epa.gov/detailed-facility-report?fid=110001336821,41.618705,-87.576608
47822,GREENBRIER RAIL SERVICES,1,,http://echo.epa.gov/detailed-facility-report?fid=110001802032,41.504511,-87.614672
58919,ARMSTRONG FLOORING INC,1,,http://echo.epa.gov/detailed-facility-report?fid=110005809704,41.137198,-87.852622
