,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
33141,MORTON GROVE PHARMACEUTICALS INCORPORATED,12,,http://echo.epa.gov/detailed-facility-report?fid=110000791466,42.032808,-87.78836700000002
37647,CHICAGO TRANSIT AUTHORITY,12,,http://echo.epa.gov/detailed-facility-report?fid=110000888843,42.025024,-87.72150699999997
90340,SPECIALTY PRINTING CO,6,,http://echo.epa.gov/detailed-facility-report?fid=110001225488,42.018659,-87.77835999999998
54530,FEDERAL-MOGUL MOTORPARTS,2,,http://echo.epa.gov/detailed-facility-report?fid=110018269112,42.016193,-87.713211
82,WR PROPERTY MGT CO LLC,0,,http://echo.epa.gov/detailed-facility-report?fid=110044807634,41.97443,-87.65498000000002
124,BOSWORTH HJ,0,,http://echo.epa.gov/detailed-facility-report?fid=110005812950,42.01223,-87.7237
126,FOOD 4 LESS 558,0,,http://echo.epa.gov/detailed-facility-report?fid=110038507121,42.03372,-87.7071
308,SATE-LITE MANUFACTURING CO,0,,http://echo.epa.gov/detailed-facility-report?fid=110020519045,42.016021,-87.78205200000002
554,PEP BOYS THE 825,0,,http://echo.epa.gov/detailed-facility-report?fid=110005807010,42.11147,-87.97872
583,CRO-MAT CO,0,,http://echo.epa.gov/detailed-facility-report?fid=110018284729,42.005627,-87.723448
585,MASTER CARE CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110005795489,41.99795200000001,-87.747888
613,O BRIEN PATRICK,0,,http://echo.epa.gov/detailed-facility-report?fid=110012271184,42.03824,-87.67697
625,JIFFY LUBE STORE 1385,0,,http://echo.epa.gov/detailed-facility-report?fid=110005932330,42.08235,-87.71395
732,CHESTNUT BODYSHOP,0,,http://echo.epa.gov/detailed-facility-report?fid=110005956162,42.08737,-87.80848
941,TOP CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110005866759,42.09981,-87.96139000000002
987,RAVENSWOOD STUDIO INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110001819541,42.00655,-87.71899
1127,FEL-PRO CHEMICAL PRODUCTS L.P.,0,,http://echo.epa.gov/detailed-facility-report?fid=110000768679,42.026111,-87.765
1416,MAYFAIR APTS,0,,http://echo.epa.gov/detailed-facility-report?fid=110003045749,42.01529,-87.66483000000002
1618,JEWEL OSCO 3425,0,,http://echo.epa.gov/detailed-facility-report?fid=110046434809,42.02571,-87.89442
1725,MNG AUTO BODY SHOP,0,,http://echo.epa.gov/detailed-facility-report?fid=110012278016,41.99806,-87.67173000000003
