,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
13273,GRAIN PROCESSING CORP,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110041204265,38.6335,-87.2262
24958,SIGECO AB BROWN GENERATING STATION,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110044891150,37.9053,-87.715
27275,GIBSON GENERATING STATION,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000592813,38.221234,-87.455156
28456,THYSSENKRUPP WAUPACA - PLANT 5,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110009973831,37.986835,-86.769568
18215,JASPER RUBBER PRODUCTS INCORPORATED,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000403484,38.386027,-86.94560899999998
27424,ALCOA WARRICK OPERATIONS,11,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000602045,37.917707,-87.325802
40680,FLANDERS ELECTRIC MOTOR SERVICE,11,2.0,http://echo.epa.gov/detailed-facility-report?fid=110001366897,38.05199,-87.54153000000002
33341,GREEN CITY CABINETS,11,,http://echo.epa.gov/detailed-facility-report?fid=110041349822,38.83078,-86.98208000000002
35635,AZTECA MILLING  LP,10,2.0,http://echo.epa.gov/detailed-facility-report?fid=110006009808,38.1208,-87.5574
38834,HOOSIER ENERGY MEROM GENERATING STATION,10,,http://echo.epa.gov/detailed-facility-report?fid=110000592831,39.0694,-87.5108
2621,"SIGECO - CULLEY, NEWBURGH",9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000403723,37.9089,-87.3246
28947,CAYUGA GENERATING STATION,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000404349,39.923,-87.42770300000002
2881,ALCOA WARRICK POWER PLANT AGC DIV OF AL,9,,http://echo.epa.gov/detailed-facility-report?fid=110044834668,37.9147,-87.3329
42332,VALERO MOUNT VERNON PLANT,9,,http://echo.epa.gov/detailed-facility-report?fid=110043222982,37.933569,-87.873408
30313,PVS STEEL SERVICES INC,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110046382080,37.98795,-87.01801
18530,COUNTRYMARK REFINING AND LOGISTICS LLC,5,2.0,http://echo.epa.gov/detailed-facility-report?fid=110017866727,37.925417,-87.904972
19687,"RAYBESTOS POWERTRAIN, LLC",5,2.0,http://echo.epa.gov/detailed-facility-report?fid=110042001614,39.091694,-87.397639
33172,MERIDIAN BRICK LLC,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110037144998,39.3195,-87.33225999999998
33599,DUKE ENERGY INDIANA EDWARDSPORT IGCC,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110040086803,38.8067,-87.2472
27124,EAGLE RAILCAR SERVICES WASHINGTON INDIANA LLC,4,2.0,http://echo.epa.gov/detailed-facility-report?fid=110001351055,38.65858,-87.19674300000001
