,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
30821,C&C MARINE & REPAIR LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110009581791,29.86702,-90.01552
55965,TOCA GAS PLANT,11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000530186,29.86595,-89.83355
64298,RAIN CII CARBON LLC - CHALMETTE CALCINING PLANT,7,4.0,http://echo.epa.gov/detailed-facility-report?fid=110012818497,29.937590000000004,-89.979599
21294,GULF ISLAND FABRICATION INC - EAST YARD & WEST YARD & NORTH YARD,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110012382803,29.54296,-90.69774
9859,CHALMETTE REFINING LLC,4,3.0,http://echo.epa.gov/detailed-facility-report?fid=110045634774,29.936411,-89.972954
57926,AMERICAN SUGAR REFINING INC,3,2.0,http://echo.epa.gov/detailed-facility-report?fid=110009575762,29.946632,-90.000916
40873,TARGA MIDSTREAM SERVICES - VENICE GAS PROCESSING PLANT,0,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000545517,29.238103,-89.386139
10129,JOTUN PAINTS INC,0,2.0,http://echo.epa.gov/detailed-facility-report?fid=110011855359,29.835924,-90.00131400000002
364,TULANE UNIVERSITY - TULANE UPTOWN CAMPUS,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001271800,29.93528,-90.12389
2769,CCI PORT NICKEL LLC - PORT NICKEL,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110064520031,29.862595,-89.971049
3252,BOLLINGER FOURCHON LLC,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110008393452,29.12703,-90.21505
3707,COMPRESSOR STATION 524,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007037385,29.21664,-90.21794
4200,DIAMOND FIELD FACILITY,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110043291201,29.547778000000005,-89.81611099999998
10320,VEOLIA WATER NORTH AMERICA OPERATING SERVICES LLC - CHALMETTE FACILITY,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007007826,29.938228,-89.983029
11465,TENNESSEE GAS PIPELINE CO #527,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007291484,29.5174,-89.72881
15210,THOMA-SEA MARINE CONSTRUCTORS LLC - LOCKPORT YARD,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110012383438,29.65365,-90.53592
18066,SUPERIOR SHIPYARD & FABRICATION INC,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110033654668,29.3487,-90.24816
18668,VALENTINE FIELD SOUTHCOAST BATTERY,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007279202,29.631583000000006,-90.453528
19985,CHEVRON ORONITE - OAK POINT PLANT,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000575244,29.80825,-90.01
23393,SHELL OFFSHORE INC VENICE TERMINAL,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007368552,29.26981,-89.35359
