,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
1271,MOSAIC PHOSPHATES CO FAUSTINA PLANT,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110022324037,30.08367,-90.91325
12658,FORMOSA PLASTICS LOUISIANA,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000597444,30.501337,-91.19234
35290,NUCOR STEEL LOUISIANA LLC,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110056317677,30.101623,-90.867748
724,LION COPOLYMER GEISMAR LLC - GEISMAR FACILITY,12,,http://echo.epa.gov/detailed-facility-report?fid=110000449765,30.205046000000007,-91.005453
22168,TOKAI CARBON CB LTD - ADDIS FACILITY,12,,http://echo.epa.gov/detailed-facility-report?fid=110043799743,30.3288,-91.2792
36699,EXXONMOBIL BATON ROUGE CHEMICAL PLANT,12,,http://echo.epa.gov/detailed-facility-report?fid=110000449970,30.495769,-91.173111
66774,BATON ROUGE COMPLEX,12,,http://echo.epa.gov/detailed-facility-report?fid=110043804185,30.484917,-91.17392
15906,GEORGIA GULF CHEMICALS & VINYLS LLC,11,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000613747,30.262255,-91.185837
26829,SHINTECH PLAQUEMINE PLANT,10,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000572675,30.2594,-91.1737
19023,THE DOW CHEMICAL CO - LOUISIANA OPERATIONS,8,2.0,http://echo.epa.gov/detailed-facility-report?fid=110001244724,30.320903,-91.239015
39022,CII CARBON GRAMERCY FACILITY,7,1.0,http://echo.epa.gov/detailed-facility-report?fid=110018914781,30.0528,-90.669
58544,SHINTECH  ADDIS PLANT A,6,2.0,http://echo.epa.gov/detailed-facility-report?fid=110008393354,30.325882,-91.261732
33771,BASF CORP,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000597364,30.1979,-91.0035
35858,DYNO NOBEL LA AMMONIA LLC - AMMONIA PROD,2,3.0,http://echo.epa.gov/detailed-facility-report?fid=110055572232,29.958889000000006,-90.270472
16328,PORT OF SOUTH LOUISIANA - TANK FARM,0,3.0,http://echo.epa.gov/detailed-facility-report?fid=110037599122,30.02313,-90.6993
29850,PRAXAIR INC - GEISMAR FACILITY,0,3.0,http://echo.epa.gov/detailed-facility-report?fid=110046264760,30.199444,-91.013333
55916,DENKA PERFORMANCE ELASTOMER LLC,0,3.0,http://echo.epa.gov/detailed-facility-report?fid=110067396669,30.056742,-90.52429
2113,NEW NGC INC - WESTWEGO PLANT,0,2.0,http://echo.epa.gov/detailed-facility-report?fid=110005984122,29.91598,-90.14367
3499,T T COATINGS LLC,0,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000890377,29.9523,-90.15047
4004,DISCOVERY PRODUCER SERVICES LLC - DISCOVERY PARADIS FRACTIONATION PLANT,0,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000555710,29.860523,-90.453429
