,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
33492,"MAGNOLIA WATER UTILITY OPERATING CO., LLC- BAYOU VIEW ESTATES",13,7.0,http://echo.epa.gov/detailed-facility-report?fid=110027244186,30.229907,-90.952367
15845,BJ COUVILLION INC,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110037931913,30.21606,-91.00267
16017,RES BATON ROUGE TRANSFER STATION,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110045504566,30.513820000000006,-91.17976
23788,UNION PACIFIC RAILROAD - AVONDALE YARD,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110003352452,29.919331,-90.187155
29195,"FAIR GROUNDS RACE COURSE, A CHURCHHILL DOWNS CO.",13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110064614065,29.983931,-90.076729
31825,PETROLEUM FUEL & TERMINAL CO - MOUNT AIR,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110022400506,30.054425,-90.646263
13674,RELIABLE SOIL,13,,http://echo.epa.gov/detailed-facility-report?fid=110003264459,29.976440000000004,-90.2634
20629,"BATON ROUGE (PARISH OF EBR), CITY OF",13,,http://echo.epa.gov/detailed-facility-report?fid=110064619578,30.48995,-91.156476
25947,LA DOTD,13,,http://echo.epa.gov/detailed-facility-report?fid=110003302426,30.45079,-91.13754
63104,SEWERAGE & WATER BOARD OF NEW ORLEANS - EAST BANK STP,13,,http://echo.epa.gov/detailed-facility-report?fid=110022408278,29.97413,-89.99982
7300,ST. GABRIEL WWTP,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110009921175,30.2544,-91.071781
59257,VILLAGE GREEN APTS,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110011168075,30.556477,-91.172817
6227,BRIDGE CITY SAND PIT,12,,http://echo.epa.gov/detailed-facility-report?fid=110031106862,29.943889,-90.145556
11989,BEVERLY INDUSTRIES LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110020158755,29.94394,-90.1452
17130,BOLOTTE'S CAR WASH,12,,http://echo.epa.gov/detailed-facility-report?fid=110011164658,29.832778,-90.943028
30000,SUGAR HILL MOBILE HOME PARK,12,,http://echo.epa.gov/detailed-facility-report?fid=110025339541,30.0725,-90.893889
32215,TESI - GREEN BAYOU,12,,http://echo.epa.gov/detailed-facility-report?fid=110010120494,30.247455,-91.04817
36598,WESTMINSTER/LINCOLNSHIRE PUMP,12,,http://echo.epa.gov/detailed-facility-report?fid=110020842917,29.87446,-90.13652
38661,WEBER MARINE INC.,12,,http://echo.epa.gov/detailed-facility-report?fid=110009931752,30.015202,-90.827873
44159,BURGER KING RESTAURANT #11614,12,,http://echo.epa.gov/detailed-facility-report?fid=110017857452,29.874967,-90.05036199999998
