,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
11219,CITY OF SALISBURY WASTEWATER TREATMENT PLANT,13,4.0,http://echo.epa.gov/detailed-facility-report?fid=110002064042,38.356944,-75.625
17483,NRG MD - BRANDYWINE FLYASH MANAGEMENT SITE,13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110008490506,38.69891,-76.79992
8815,BACK RIVER WASTEWATER TREATMENT PLANT,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110019889888,39.295278,-76.491667
21562,PATAPSCO WWTP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110008423704,39.23208,-76.56699
25320,POCOMOKE CITY WASTEWATER TREATMENT FACILITY,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000866983,38.083374,-75.58296700000002
25389,"NICHOLSON, J LAWRENCE LANDFILL",13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110043761818,39.201111,-76.1375
26986,GALENA WWTP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110009916216,39.33669,-75.888527
4642,PRINCE SPECIALTY PRODUCTS LLC,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000867036,39.19469,-76.56416
5532,LEONARDTOWN WASTEWATER TREATMENT FACILITY,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110002055613,38.293333,-76.625
13556,RELAX INN WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006636177,38.45481,-76.99091999999997
18689,ROCKVILLE FUEL AND FEED,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001254963,39.0994,-77.13606
22182,ALLEN HARIM FOODS LLC CORDOVA,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000496437,38.87902,-75.99285
388,PERDUE SALISBURY ZION CHURCH ROAD FEED & GRAIN,13,,http://echo.epa.gov/detailed-facility-report?fid=110009684010,38.38255,-75.52614
1201,PRINCESS ANNE WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110008488145,38.196788,-75.69659300000002
1277,DAMASCUS WATER RESOURCE RECOVERY FACILITY,13,,http://echo.epa.gov/detailed-facility-report?fid=110022381518,39.246061,-77.20464100000002
1376,ACCIDENT WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110006631564,39.61953,-79.323093
1520,EVANGELICAL PRESBYTERIAN CHURCH OF ANNAPOLIS,13,,http://echo.epa.gov/detailed-facility-report?fid=110006635533,39.00064,-76.5193
2281,"BBSS, INC.,AA-64A",13,,http://echo.epa.gov/detailed-facility-report?fid=110008486478,39.039589,-76.691261
3294,MAYO WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110039699948,38.910489,-76.53321899999997
3689,CRISFIELD WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110000761774,37.97040300000001,-75.857988
