,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
22806,DIAGEO NORTH AMERICA,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000764290,39.22457,-76.69794
5473,"NEW NGC, INC. DBA NATIONAL GYPSUM COMPANY",4,,http://echo.epa.gov/detailed-facility-report?fid=110001251797,39.26357,-76.55525
4820,RAVEN POWER GENERATING STATION,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110038162902,39.1797,-76.5334
10845,BRC LEASING COMPANY LLC-NIH BAYVIEW,1,,http://echo.epa.gov/detailed-facility-report?fid=110024825448,39.289182,-76.549223
31273,U S COAST GUARD YARD,1,,http://echo.epa.gov/detailed-facility-report?fid=110000764325,39.2,-76.572694
51,BROADWAY UNITED METH. CHURCH,0,,http://echo.epa.gov/detailed-facility-report?fid=110019867170,39.28881,-76.59359
53,PEPSI-COLA BOTTLING,0,,http://echo.epa.gov/detailed-facility-report?fid=110001775133,38.979963,-76.521975
81,DALLAS STREET ANTIQUE COUNTERFEITERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110001296026,39.28542,-76.59605
101,MCCALL HANDLING CO,0,,http://echo.epa.gov/detailed-facility-report?fid=110001261606,39.26241,-76.6753
124,ST. AUGUSTINE CHURCH,0,,http://echo.epa.gov/detailed-facility-report?fid=110019865350,39.204167,-76.716389
130,NEW PATTERSON TAILORS INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110001682536,39.2923,-76.57411
159,EXXON,0,,http://echo.epa.gov/detailed-facility-report?fid=110001798626,39.2723,-76.63019
195,"SLADE, ARTHUR REGIONAL SCHOOL",0,,http://echo.epa.gov/detailed-facility-report?fid=110001260466,39.16892,-76.63457
209,LAUREL AUTO BODY,0,,http://echo.epa.gov/detailed-facility-report?fid=110002021277,39.093611,-76.795833
213,7-ELEVEN #23439,0,,http://echo.epa.gov/detailed-facility-report?fid=110001691642,39.1485,-76.6386
226,ASAP CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110001838600,39.432568,-76.796155
230,7-11 STORE,0,,http://echo.epa.gov/detailed-facility-report?fid=110001799117,39.30231,-76.54686
274,24/7 COLLISION CARE & TRUCK SHOP,0,,http://echo.epa.gov/detailed-facility-report?fid=110001278705,39.17735,-76.62235
278,O.K. CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110001302885,39.151862,-77.06697
285,HILLTOP ELEMENTARY SCHOOL,0,,http://echo.epa.gov/detailed-facility-report?fid=110003505065,39.187906,-76.637028
