,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
1010,DOWAGIAC WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110009027258,41.98383,-86.133861
1240,CROSSROADS DAIRY-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110041264985,42.717729,-85.553831
1932,WAYLAND TWP WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110055092849,42.608978,-85.65965600000001
2550,SHAMROCK-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110041271272,42.14622,-85.3536
2618,CONTRACT FINISHERS INC-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110043488678,42.687116,-86.113127
3944,NEW BUFFALO WFP,13,,http://echo.epa.gov/detailed-facility-report?fid=110003699141,41.79038,-86.76271700000002
4291,HEASLEY FARM-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110041951821,42.750343,-85.821279
4566,ROLLING ACRES DAIRY-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110041951910,42.620007,-85.84044
5111,JOHN SCHAENDORF DAIRY-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110041950653,42.6385,-85.81221
6514,ST JOSEPH CSO,13,,http://echo.epa.gov/detailed-facility-report?fid=110010125239,42.108137,-86.481216
6903,MENDON WWSL,13,,http://echo.epa.gov/detailed-facility-report?fid=110009911168,42.01376,-85.44243
7221,BARODA WWSL,13,,http://echo.epa.gov/detailed-facility-report?fid=110006742819,41.95221,-86.48565
7542,MENDON WTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110009910043,42.011824,-85.449606
10283,BANGOR WWSL,13,,http://echo.epa.gov/detailed-facility-report?fid=110006742542,42.29669000000001,-86.12631999999998
12183,EDGE WOOD DAIRY LLC-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110055259740,42.186949,-85.40464300000002
12783,HARTFORD WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110006740704,42.21495,-86.19117
13484,COLON WWTF,13,,http://echo.epa.gov/detailed-facility-report?fid=110042369148,41.98181,-85.34652
13597,LORENZ FARMS - CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110041951876,42.135596,-85.66679599999998
14764,KLEINHEKSEL FARMS-CAFO,13,,http://echo.epa.gov/detailed-facility-report?fid=110041950662,42.696756,-86.047089
18129,GUN LAKE CASINO WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110055198361,42.630415,-85.6546
