,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
1297,MICHIGAN 99 INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110003712689,42.2642,-84.40701
7380,OLD CARCO LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110042035348,42.324167,-83.83971
7496,KELLOGG CRANKSHAFT CO,12,,http://echo.epa.gov/detailed-facility-report?fid=110003579208,42.27099000000001,-84.45476
9014,CARE-FREE WINDOWS,12,,http://echo.epa.gov/detailed-facility-report?fid=110001298596,42.54949000000001,-84.85297
10399,WOODWARD DETROIT CVS LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110045978439,42.086274,-84.490769
10497,YANFENG GLOBAL AUTOMOTIVE - FRENCHTOWN PLANT #1/#2,12,,http://echo.epa.gov/detailed-facility-report?fid=110016718499,41.92985,-83.34643
12853,MOTAWI TILEWORKS INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110003703797,42.295073,-83.869637
13927,WASHTENAW INDUSTRIAL FACILITY LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110043548667,42.1599,-83.78356
14831,CHELSEA MILLING CO,12,,http://echo.epa.gov/detailed-facility-report?fid=110000405589,42.31985,-84.02153
19159,MIDDLETONS MOULDINGS,12,,http://echo.epa.gov/detailed-facility-report?fid=110001848403,41.86903,-85.21183
23131,SUBURBAN CHEVROLET LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110006040569,42.063077,-84.115091
25948,THOMSON SHORE INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110001845629,42.34156,-83.87444
26458,DAVIS PONTIAC,12,,http://echo.epa.gov/detailed-facility-report?fid=110003586673,42.571563,-84.82418100000002
28141,LAFONTAINE SALINE INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110032732014,42.16028,-83.79733
29737,MICHIGAN AUTOMOTIVE COMPRESSOR INC.,12,,http://echo.epa.gov/detailed-facility-report?fid=110000410083,42.2653,-84.5394
31821,WOODWARD DETROIT CVS LLC #8089,12,,http://echo.epa.gov/detailed-facility-report?fid=110015891490,42.30722,-84.02112
35983,MICHIGAN TUBE SWAGERS AND FABRICATORS INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110046087961,41.74826,-83.5521
37351,SALINE SCHOOLS,12,,http://echo.epa.gov/detailed-facility-report?fid=110003622492,42.18143,-83.7739
37532,HERRICK MEMORIAL HOSPITAL INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110003613466,42.00292,-83.93781
37684,MI DEPT/CORRECTIONS,12,,http://echo.epa.gov/detailed-facility-report?fid=110003661172,42.290688,-84.387155
