,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
46836,AMEREN UE MERAMEC POWER STATION,1,,http://echo.epa.gov/detailed-facility-report?fid=110001958515,38.40212,-90.335953
3,BUSSEN QUARRIES INC.,0,,http://echo.epa.gov/detailed-facility-report?fid=110006818471,38.47703,-90.2837
66,KUPFERER BROTHERS IRON WORKS INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110021156452,38.56057,-90.36458
202,ARNOLD AUTO REPAIR INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110001471050,38.43311,-90.37733
379,BROD-DUGAN COMPANY,0,,http://echo.epa.gov/detailed-facility-report?fid=110001131604,38.69966,-90.42973
551,ROTO-DIE COMPANY INC-HOWERTON LN,0,,http://echo.epa.gov/detailed-facility-report?fid=110000440121,38.5075,-90.65985
565,GATEWAY CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110024418478,38.679896,-90.504193
593,HENDRICKS PROPERTIES,0,,http://echo.epa.gov/detailed-facility-report?fid=110001459644,38.52162,-90.32051
667,HAPPY CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110027216359,38.592906,-90.548901
743,WESTWAY CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110003947392,38.60475,-90.37965
747,CONCORD CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110003948408,38.5251,-90.35556
832,BABLER ELEMENTARY SCHOOL,0,,http://echo.epa.gov/detailed-facility-report?fid=110064341163,38.55832,-90.32318
1118,BONDEX INTERNATIONAL INCORPORATED,0,,http://echo.epa.gov/detailed-facility-report?fid=110001456807,38.56291,-90.45599
1437,BAL COEUR CLEANERS LTD,0,,http://echo.epa.gov/detailed-facility-report?fid=110003945544,38.66787,-90.44384
1497,SAPPINGTON FARMERS MARKET,0,,http://echo.epa.gov/detailed-facility-report?fid=110001457012,38.5376,-90.37767
1559,SIMPSON CONSTRUCTION MATERIALS LLC,0,,http://echo.epa.gov/detailed-facility-report?fid=110033138138,38.45206,-90.40896
1773,WEST COUNTY PLAZA AUTO SERVICE,0,,http://echo.epa.gov/detailed-facility-report?fid=110001459939,38.5916,-90.59152
1933,SIMPSON CONSTRUCTION MATERIALS,0,,http://echo.epa.gov/detailed-facility-report?fid=110009888372,38.5378,-90.51821
2010,METRO VALLEY PARK PLANT,0,,http://echo.epa.gov/detailed-facility-report?fid=110001451143,38.55114,-90.48048
2369,CHENOWETH CHAPMAN CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110003969199,38.680579,-90.475811
