,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
1286,SUNSET MHP WWTF,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110064297602,37.190783,-94.282621
28371,REEDS SPRING WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009874788,36.755441,-93.387058
48332,4AS MEAT PROCESSING,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110056409006,36.711654,-94.03596
50595,JOPLIN TURKEY CREEK WWTP,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009872888,37.116987,-94.54901
322,PIERCE CITY WWTF,13,,http://echo.epa.gov/detailed-facility-report?fid=110064268876,36.938361,-94.014194
803,"HILAND DAIRY - SPRINGFIELD, MO",13,,http://echo.epa.gov/detailed-facility-report?fid=110000571630,37.241525,-93.276919
1301,WOODRIDGE SOUTH SUBDIVISION WWTF,13,,http://echo.epa.gov/detailed-facility-report?fid=110009868866,36.974552,-93.19428
1357,FOREST PARK SUBDIVISION WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110009712301,36.61739,-93.44166
1499,GALENA WWTF,13,,http://echo.epa.gov/detailed-facility-report?fid=110009872307,36.8095,-93.465778
1760,SENECA WWTP - S-21611,13,,http://echo.epa.gov/detailed-facility-report?fid=110059802600,36.931905,-94.548276
1912,KARLIN PLACE SUBDIVISION WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110023142730,37.554054,-93.396087
2355,SHELL KNOB PIZZA HUT WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110009873146,36.618057,-93.615749
2506,STEELE SEPTIC SERVICE,13,,http://echo.epa.gov/detailed-facility-report?fid=110042662972,37.08089,-93.40356
2687,OZARK VILLA WWTF,13,,http://echo.epa.gov/detailed-facility-report?fid=110013739464,36.625138,-93.609497
2878,BRONC BUSTERS WWTF,13,,http://echo.epa.gov/detailed-facility-report?fid=110042564203,37.044202,-94.313823
2937,PURCELL WWTF,13,,http://echo.epa.gov/detailed-facility-report?fid=110021033718,37.243166,-94.44628
3071,THE VILLAGE AT INDIAN POINT WWTF,13,,http://echo.epa.gov/detailed-facility-report?fid=110009869856,36.636859,-93.343253
4228,BRANSON KINGSGATE SWIMMING POOL,13,,http://echo.epa.gov/detailed-facility-report?fid=110055252328,36.647547,-93.290406
4959,ASH GROVE WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110039791712,37.316891,-93.580469
6255,FAIRVIEW WWTF,13,,http://echo.epa.gov/detailed-facility-report?fid=110042685868,36.81375,-94.099639
