,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
1618,INTERNATIONAL PAPER COMPANY,12,,http://echo.epa.gov/detailed-facility-report?fid=110017981781,37.06852,-94.47518
3773,BUDDYS AUTO MALL,12,,http://echo.epa.gov/detailed-facility-report?fid=110017981736,37.228297,-93.40333
7342,FRENCH DAVIS COLLISION,12,,http://echo.epa.gov/detailed-facility-report?fid=110070208170,37.081884,-93.298026
9577,EBV EXPLOSIVES ENVIRONMENTAL C O,12,,http://echo.epa.gov/detailed-facility-report?fid=110024424014,37.103972,-94.378917
10109,RIDEWELL CORP,12,,http://echo.epa.gov/detailed-facility-report?fid=110070332684,37.2728,-93.21756
13179,OREILLY AUTO PARTS STORE 4031,12,,http://echo.epa.gov/detailed-facility-report?fid=110003934994,37.21517,-93.26171
32623,LOZIER CORP-AFI DIVISION,12,,http://echo.epa.gov/detailed-facility-report?fid=110000443832,37.0756,-94.549103
33581,166 AUTO AUCTION,12,,http://echo.epa.gov/detailed-facility-report?fid=110003995151,37.182923,-93.336796
39142,EBV EXPLOSIVES ENVIRONMENTAL C O,12,,http://echo.epa.gov/detailed-facility-report?fid=110064173291,37.0969,-94.38559
7101,JOPLIN SCHOOL DISTRICT,11,,http://echo.epa.gov/detailed-facility-report?fid=110035429131,37.07704,-94.52628
20381,HOLLOWAY AMERICA LLC,11,,http://echo.epa.gov/detailed-facility-report?fid=110043856645,37.21353,-93.23965
36268,FIRESTONE SERVICE CENTER # 4153,11,,http://echo.epa.gov/detailed-facility-report?fid=110003973656,37.1995,-93.26204
42651,MID-AMERICA PRECISION PRODUCTS  LLC,11,,http://echo.epa.gov/detailed-facility-report?fid=110012601737,37.088348,-94.535957
43280,FEDEX FREIGHT INC SGF,11,,http://echo.epa.gov/detailed-facility-report?fid=110040048141,37.224865,-93.378657
47590,TRI STATE MOTOR TRANSIT CO,11,,http://echo.epa.gov/detailed-facility-report?fid=110007636139,37.092444,-94.406083
22069,DYNO NOBEL INC CARTHAGE PLANT,10,3.0,http://echo.epa.gov/detailed-facility-report?fid=110012608455,37.1485,-94.373167
14065,HOME DEPOT #HD3042,10,,http://echo.epa.gov/detailed-facility-report?fid=110006665153,37.0696,-94.47579
23701,NORTHSTAR BATTERY CO LLC PLANT 1-SPRINGFIELD,4,,http://echo.epa.gov/detailed-facility-report?fid=110012704083,37.24142,-93.20923
36645,GARAGE GRAPHICS & VISUALS,4,,http://echo.epa.gov/detailed-facility-report?fid=110003943653,37.24375,-93.24295
23113,POSITRONIC INDUSTRIES,3,,http://echo.epa.gov/detailed-facility-report?fid=110033191392,37.21166,-93.29421
