,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
63329,NYC HA EDENWALD HOUSES-1170 229TH DR SO,1,,http://echo.epa.gov/detailed-facility-report?fid=110013744430,40.88542,-73.84489
84902,CENTURY TOWER ASSOCIATES NY LLC,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110040829976,40.87899,-73.91521
137772,UNITEX,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110038457050,40.909081,-73.85191999999998
54,SARATOGA,0,,http://echo.epa.gov/detailed-facility-report?fid=110019309238,40.91443,-73.83530999999998
79,TECK LAUNDRY DRY CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110004456570,40.91004,-73.79655
381,L&M AUTOMOTIVE CENTER INC.,0,,http://echo.epa.gov/detailed-facility-report?fid=110042331429,40.88585,-73.82668100000002
790,NEXT LEVEL AUTO REPAIR INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110019096645,40.88531,-73.82458000000003
795,WILMOT CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110006449432,40.98369,-73.777524
961,NEW FRENCH DRY CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110004372606,40.91612,-73.901865
1612,"AMERICAN SUGAR REFINING, INC.",0,,http://echo.epa.gov/detailed-facility-report?fid=110057275997,40.92564,-73.90465
1807,THE BEST CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110004486921,40.98991,-73.68372
1838,COMPLETE AUTO BODY-4151 BOSTON RD,0,,http://echo.epa.gov/detailed-facility-report?fid=110001598405,40.88675,-73.82635
2149,SCARSDALE CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110012643005,40.98831,-73.80988
2237,HOSANNA CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110002361346,40.89906,-73.86747
2488,MIKE'S NO TOUCH DRY CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110027229434,40.87208,-73.86713
3306,CITGO,0,,http://echo.epa.gov/detailed-facility-report?fid=110019393486,40.94612,-73.882489
3563,PEERLESS CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110001610301,40.903612,-73.850176
3947,3240 HENRY HUDSON PARKWAY BUILDING,0,,http://echo.epa.gov/detailed-facility-report?fid=110043570481,40.884986,-73.91397099999998
4192,RIVERDALE BODY SHOP,0,,http://echo.epa.gov/detailed-facility-report?fid=110019523782,40.88713,-73.90193000000002
4324,KEY ENERGY TERMINAL,0,,http://echo.epa.gov/detailed-facility-report?fid=110001587426,40.89046,-73.82508
