,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
2281,CONNETQUOT RIVER STATE PARK RESERVE,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110019646230,40.74754,-73.16974
110375,EXPRESSWAY 55 CAR WASH,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110009824690,40.802389,-73.228833
134407,RED APPLE LAUNDROMAT,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110006700953,40.79925,-73.25075
6923,US NONWOVENS CORP,13,,http://echo.epa.gov/detailed-facility-report?fid=110019327682,40.78146,-73.27660999999998
8144,"ROCKTENN-SOUTHERN CONTAINER, LLC",13,,http://echo.epa.gov/detailed-facility-report?fid=110001586301,40.76417,-73.29951
16464,RAINBOW MARINE ASSOCIATION,13,,http://echo.epa.gov/detailed-facility-report?fid=110019606899,40.68692,-73.32632
22893,SPIN CITY SUPER LAUNDROMAT,13,,http://echo.epa.gov/detailed-facility-report?fid=110045506467,40.75635,-73.27117
36022,WASH N ROLL CAR WASH,13,,http://echo.epa.gov/detailed-facility-report?fid=110010126675,40.77523,-73.27099
36152,ST ANNE'S GARDENS,13,,http://echo.epa.gov/detailed-facility-report?fid=110009150827,40.777107,-73.242603
40895,EAST SHORE MARINE REPAIRS INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110063867141,40.67161,-73.35566999999998
55645,C & D MARINA,13,,http://echo.epa.gov/detailed-facility-report?fid=110043438517,40.664,-73.385
64640,LEXINGTON VILLAGE CONDOMINIUM,13,,http://echo.epa.gov/detailed-facility-report?fid=110009827839,40.754583,-73.27380600000002
81577,DATA DEVICE CORP,13,,http://echo.epa.gov/detailed-facility-report?fid=110000823173,40.77844,-73.10488000000002
93717,640 W. HOFFMAN AVENUE,13,,http://echo.epa.gov/detailed-facility-report?fid=110021019431,40.683,-73.38600000000002
101559,BOHEMIA AUTO WASH,13,,http://echo.epa.gov/detailed-facility-report?fid=110006700677,40.75601,-73.10943
117185,STEVES MARINE SERVICE WEST INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110039194118,40.66221,-73.42339
133811,MONSTERS RECYCLING INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110055252872,40.69526,-73.35476
136311,SUFFOLK MARINE CENTER,13,,http://echo.epa.gov/detailed-facility-report?fid=110019129780,40.69555,-73.31893000000002
142203,APII,13,,http://echo.epa.gov/detailed-facility-report?fid=110035860146,40.68364,-73.38525
125684,"R.P.M. MARINE, INC.",12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110019454204,40.6712,-73.381
