,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
564,GORBEL INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110002319893,43.01147,-77.45452
588,RAMSDELL'S  DRYCLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110002361453,42.72654,-78.8232
1130,HANSON AGG STAFFORD QUARRY,0,,http://echo.epa.gov/detailed-facility-report?fid=110030925480,42.984048,-78.09409699999998
1278,EAST AURORA COMPRESSOR STATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110044364728,42.745957,-78.573195
2157,NUTTALL GEAR,0,,http://echo.epa.gov/detailed-facility-report?fid=110009467852,43.09959,-78.93494
2736,BATAVIA BULK PLANT,0,,http://echo.epa.gov/detailed-facility-report?fid=110000530346,43.00708,-78.13339
4955,MATERION ADVANCED MATERIALS TECHOLOGIES & SERVICES INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110006449600,43.12155,-78.93812
6454,PORTERVILLE COMPRESSOR STATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110001616993,42.79855,-78.58431999999998
7328,BARTON ROAD QUARRY,0,,http://echo.epa.gov/detailed-facility-report?fid=110001568349,42.955011,-78.65229599999998
7498,CHAFFEE LANDFILL/ WASTE MANAGEMENT OF NY,0,,http://echo.epa.gov/detailed-facility-report?fid=110010307630,42.581913,-78.499515
7967,BASKIN LIVESTOCK,0,,http://echo.epa.gov/detailed-facility-report?fid=110010804692,42.94042,-78.18670999999998
8022,VENTURA'S CARSTAR COLLISION,0,,http://echo.epa.gov/detailed-facility-report?fid=110004430205,42.79651,-78.77717
8162,NEW CONCEPT FINISHES,0,,http://echo.epa.gov/detailed-facility-report?fid=110041350409,42.97328,-77.86009
8585,ZOAR COMPRESSOR STATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110010433557,42.472187,-78.825662
8832,SHUR-LINE INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110012645316,42.913276,-78.66183000000002
9127,KAR KRAZY AUTO SERVICE INC.,0,,http://echo.epa.gov/detailed-facility-report?fid=110040833658,42.79361,-78.84673000000002
9247,MASSARO CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110037597669,43.02299,-78.69695
9489,SPRAUGE BROOK PARK,0,,http://echo.epa.gov/detailed-facility-report?fid=110019196500,42.58475,-78.63405
10284,HILLCREST INDUSTRIES INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110001587569,42.86317,-78.27385
10920,REDLAND QUARRIES NY INC - NIAGARA FALLS QUARRY,0,,http://echo.epa.gov/detailed-facility-report?fid=110001598771,43.123528,-78.972972
