,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
25735,FMC CORPORATION,7,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000326601,43.207167,-78.468875
114937,STAUFFER CHEMICAL /ARTPARK,5,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000809849,43.14640900000001,-79.038558
37912,BRUNNER INTL  INC,5,,http://echo.epa.gov/detailed-facility-report?fid=110000809484,43.21977,-78.37054
87771,914TH AIR REFUELING WING@NIAGARA FALLS AIR RESERVE STATION,5,,http://echo.epa.gov/detailed-facility-report?fid=110000837863,43.11586,-78.93903
102482,AMTRAK - NIAGARA FALLS,5,,http://echo.epa.gov/detailed-facility-report?fid=110035437015,43.11509,-79.03055
19358,C R A SERVICES,4,2.0,http://echo.epa.gov/detailed-facility-report?fid=110024515933,43.09958,-78.93876
30195,AAKRON RULE CORP,3,4.0,http://echo.epa.gov/detailed-facility-report?fid=110039565798,43.02548,-78.49225
126485,WASTE STREAM TECHNOLOGY,3,2.0,http://echo.epa.gov/detailed-facility-report?fid=110043984016,43.11512000000001,-79.03035
93750,AVOX SYSTEMS INC,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000807583,42.9053,-78.65807
52282,FISHER PRICE INC,3,,http://echo.epa.gov/detailed-facility-report?fid=110019096404,42.77192,-78.61174
27558,EMPIRE COATING INC,2,,http://echo.epa.gov/detailed-facility-report?fid=110001602123,43.2409,-78.20006
36040,SERVOTRONICS INC,2,,http://echo.epa.gov/detailed-facility-report?fid=110004316320,42.800268,-78.621382
45477,WHITING DOOR MANUFACTURING CORP,2,,http://echo.epa.gov/detailed-facility-report?fid=110000326335,43.02812,-78.50094
63495,PINNACLE MANUFACTURING CO,2,,http://echo.epa.gov/detailed-facility-report?fid=110019686348,42.99353,-78.17226
74762,P C B PIEZOTRONICS INC,2,,http://echo.epa.gov/detailed-facility-report?fid=110004354742,42.91409,-78.68323000000002
77018,LIFESPAN INTERNATIONAL INC,2,,http://echo.epa.gov/detailed-facility-report?fid=110070434837,42.75308,-78.85714
121815,BISON BAG CO INC,2,,http://echo.epa.gov/detailed-facility-report?fid=110015782973,43.17139,-78.74871
133073,ELECTROSYNTHESIS CO INC,2,,http://echo.epa.gov/detailed-facility-report?fid=110000839353,42.93055,-78.606615
35254,TABTRONICS INC,1,2.0,http://echo.epa.gov/detailed-facility-report?fid=110006444213,42.83027,-77.87275
10800,BRIDGESTONE APM CO,1,,http://echo.epa.gov/detailed-facility-report?fid=110069705634,43.120561,-78.917265
