,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
13058,WATERMILL INC.,13,,http://echo.epa.gov/detailed-facility-report?fid=110064517287,39.170842,-84.638649
13282,WESTWOOD LAKE PARK,13,,http://echo.epa.gov/detailed-facility-report?fid=110009821452,39.29316,-84.26203000000002
49312,KING S DOMAIN,13,,http://echo.epa.gov/detailed-facility-report?fid=110009630319,39.40904000000001,-84.09619
59987,MILL CREEK WWTP (1431070944),13,,http://echo.epa.gov/detailed-facility-report?fid=110010530568,39.10749000000001,-84.54556
23773,TAYLOR CREEK WASTE WATER TREATMENT PLANT,12,,http://echo.epa.gov/detailed-facility-report?fid=110006200878,39.2158,-84.69376
33907,HAIR STATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110070030004,39.195,-84.59926
37332,RIVERS EDGE COMMERCE PARK WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110032825977,39.188092,-84.54563900000002
39656,GLENDALE WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110006312533,39.27116,-84.44853
1013,WAYNESVILLE REGIONAL WWTP,11,,http://echo.epa.gov/detailed-facility-report?fid=110006700267,39.52448,-84.08939000000002
15167,AGRIUM NORTH BEND NITROGEN OPERATIONS,11,,http://echo.epa.gov/detailed-facility-report?fid=110000392628,39.12016,-84.79639
15713,PETROCHOICE LUBRICATION SOLUTIONS,11,,http://echo.epa.gov/detailed-facility-report?fid=110058286304,39.375,-84.283333
18758,WALTON CREEK CONDOS WWTP,11,,http://echo.epa.gov/detailed-facility-report?fid=110009821602,39.14488,-84.35619
23080,COMBS INC COUNTRY KITCHEN WWTP,11,,http://echo.epa.gov/detailed-facility-report?fid=110006263122,39.41187,-84.1495
4533,LOWER LITTLE MIAMI WWTP,10,,http://echo.epa.gov/detailed-facility-report?fid=110039744033,39.3218,-84.25546
15158,MID-WESTERN CHILDRENS HOME,10,,http://echo.epa.gov/detailed-facility-report?fid=110006235984,39.28549,-84.13488000000002
51244,WTPS - RIVER TRANSPORTATION TERMINAL (1431071775),10,,http://echo.epa.gov/detailed-facility-report?fid=110000393645,39.09319,-84.64898000000002
1317,SKYRIDGE NORTHCREST APTS TREATMENT PLANT,9,,http://echo.epa.gov/detailed-facility-report?fid=110006314265,39.19079,-84.657013
17089,BLACKSVILLE NO. 1 MINE,9,,http://echo.epa.gov/detailed-facility-report?fid=110010862343,39.715029,-80.188974
27589,CLERMONT CO COMMISSIONERS ARROWHEAD PARK STP,9,,http://echo.epa.gov/detailed-facility-report?fid=110009822344,39.2417,-84.2959
43347,MODERN ICE,9,,http://echo.epa.gov/detailed-facility-report?fid=110015648717,39.169595,-84.637571
