,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
52241,HAVERHILL CHEMICALS LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110042073332,38.59167,-82.81944
18737,HERITAGE-WTI INC,10,,http://echo.epa.gov/detailed-facility-report?fid=110027242320,40.631622,-80.54632
58795,ERAMET MARIETTA METALLURGICAL PLANT,5,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000741966,39.372906,-81.523579
11703,"ALERIS ROLLED PRODUCTS, INC. (0679030152)",2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000390862,40.36884000000001,-81.34657
32295,OSCO INDUSTRIES INC JACKSON DIV,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000605471,39.057878,-82.636934
1136,HAVERHILL COKE CO LLC,2,,http://echo.epa.gov/detailed-facility-report?fid=110054816703,38.5973,-82.8271
12148,"WELL SITE SUPPLY, INC.",2,,http://echo.epa.gov/detailed-facility-report?fid=110061080538,39.34932,-81.55091999999998
27144,MARIETTA INDUSTRIAL ENTERPRISES,2,,http://echo.epa.gov/detailed-facility-report?fid=110064191468,39.347805,-81.553921
46489,AMERICAN STANDARD INC,2,,http://echo.epa.gov/detailed-facility-report?fid=110000389767,40.89613,-80.85679
50241,SIDWELL MATERIALS SIMPLICITY 4520 PORTABLE SCREEN,2,,http://echo.epa.gov/detailed-facility-report?fid=110030491910,40.277278,-81.015254
50770,"EAST BALT OHIO, LLC. (0660010244)",2,,http://echo.epa.gov/detailed-facility-report?fid=110013743654,39.9847,-81.9441
45517,BLACKSTONE ASPHALT INC (0640025002),1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110063885345,39.09579,-82.48606
49019,AMG VANADIUM INC,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000591583,39.9875,-81.56277800000002
54046,SKYE METAL RECOVERY INC,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110056293309,39.348249,-81.55179
59107,COBRA PIPELINE - CHURCHTOWN COMPRESSOR STATION,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007384712,39.459722,-81.52305600000003
3687,WILLIAMS ARCHER COMPRESSOR FACILITY,1,,http://echo.epa.gov/detailed-facility-report?fid=110063893336,40.324536,-81.078962
4418,TENNESSEE GAS PIPELINE COMPRESSOR STATION,1,,http://echo.epa.gov/detailed-facility-report?fid=110013972941,39.93917,-81.68208
19199,MAR-ZANE PLANT #22,1,,http://echo.epa.gov/detailed-facility-report?fid=110064749223,40.06305,-81.10172
20542,INTERNATIONAL CONVERTER INC *,1,,http://echo.epa.gov/detailed-facility-report?fid=110006285894,39.73167,-81.52360999999998
30481,NEW BAKERY OF OHIO INC,1,,http://echo.epa.gov/detailed-facility-report?fid=110001630691,39.9512,-81.8913
