,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
6898,BAKER CITY WWTP,13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110006618197,44.814419,-117.843443
8579,HOOD RIVER STP,13,3.0,http://echo.epa.gov/detailed-facility-report?fid=110037765656,45.714008,-121.520296
5783,THE DALLES STP,12,,http://echo.epa.gov/detailed-facility-report?fid=110014169461,45.601496,-121.179408
9696,WARM SPRINGS WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110055021453,44.761392,-121.25921
9139,ASHLAND WWTP,11,2.0,http://echo.epa.gov/detailed-facility-report?fid=110006618160,42.213632,-122.714472
16368,SAPA EXTRUSIONS THE DALLES CAST HOUSE,10,,http://echo.epa.gov/detailed-facility-report?fid=110063630977,45.620919,-121.206139
1371,HERMISTON WWTP,9,,http://echo.epa.gov/detailed-facility-report?fid=110058294224,45.861667,-119.3125
4545,WALLOWA STP,8,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006696441,45.577575,-117.531411
6125,MEDFORD RWRF,8,,http://echo.epa.gov/detailed-facility-report?fid=110001658448,42.434923,-122.907057
13501,GRANTS PASS STP,8,,http://echo.epa.gov/detailed-facility-report?fid=110045420157,42.429923,-123.343678
18841,PRINEVILLE STP,8,,http://echo.epa.gov/detailed-facility-report?fid=110009817074,44.310061,-120.873846
16952,HEINZ FROZEN FOOD COMPANY,7,,http://echo.epa.gov/detailed-facility-report?fid=110000488936,44.033053,-116.957188
2766,JOSEPH STP,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009817378,45.373071,-117.220194
10753,HUNTINGTON STP,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006696450,44.356229,-117.255677
16496,HEPPNER  STP,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006696405,45.364754,-119.564129
13668,ONTARIO STP,6,,http://echo.epa.gov/detailed-facility-report?fid=110006618446,44.039378,-117.000862
17050,PENDLETON WASTEWATER TREATMENT PLANT,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009817172,45.66794,-118.836944
3783,WARM SPRINGS NATIONAL FISH HATCHERY,4,,http://echo.epa.gov/detailed-facility-report?fid=110045293810,44.86158,-121.245825
14027,BIGGS SERVICE DISTRICT WW TREATMENT,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110039702612,45.670943,-120.831499
2116,BOISE CASCADE MEDFORD OPERATIONS,3,,http://echo.epa.gov/detailed-facility-report?fid=110014266365,42.35507,-122.90429
