,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
3169,"ENVIROTECH SERVICES, INC.",10,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070244874,44.33614,-120.89218
189,CHEMICAL WASTE MANAGEMENT OF THE NW,6,,http://echo.epa.gov/detailed-facility-report?fid=110002059904,45.61513,-120.23382
5248,NIC INDUSTRIES INC,5,,http://echo.epa.gov/detailed-facility-report?fid=110004800564,42.43105,-122.87031
5645,TORTOISE TRANSPORT CO AT RIVERSIDE DIESE,5,,http://echo.epa.gov/detailed-facility-report?fid=110070664372,42.2026,-121.78849
7429,INDUSTRIAL OIL,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110004791191,42.193886,-121.775157
9572,"ANM, INC",2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070122565,42.33339,-122.88197
15578,THERMO FISHER SCIENTIFIC,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110045987688,44.084947,-121.283264
18683,"ERICKSON, INC.",2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070122564,42.37619,-122.88156
304,ASH GROVE CEMENT COMPANY,2,,http://echo.epa.gov/detailed-facility-report?fid=110017417776,44.5428,-117.4218
19407,SUTERRA,2,,http://echo.epa.gov/detailed-facility-report?fid=110040447905,44.114175,-121.277139
1152,NORTHLAND FURNITURE,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000488749,44.05101,-121.29579
11181,SICAMORE SEMICONDUCTOR,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000901383,44.046384,-121.328113
11694,ECBLEND FLAVORS,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070122532,42.32709000000001,-122.89931
19028,JELD WEN INCORPORATED,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000601536,42.51143,-121.88196
759,SMAF ENVIRONMENTAL,1,,http://echo.epa.gov/detailed-facility-report?fid=110070225271,44.321024,-120.876372
1585,PACIFIC TOOL AND GAUGE INC,1,,http://echo.epa.gov/detailed-facility-report?fid=110004790067,42.42946,-122.87996
3796,HOME DEPOT NO 4025,1,,http://echo.epa.gov/detailed-facility-report?fid=110022818423,44.0817,-117.0141
5427,"TP GRANTS PASS, LLC",1,,http://echo.epa.gov/detailed-facility-report?fid=110001655343,42.4329,-123.309844
9847,FD THOMAS INC,1,,http://echo.epa.gov/detailed-facility-report?fid=110004802152,42.39484,-122.88134
10567,WB&D TECHNOLOGIES INCORPORATED,1,,http://echo.epa.gov/detailed-facility-report?fid=110000816662,44.65582,-121.13275
