,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
29297,SERVSTEEL INC/MORGAN,10,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001201360,40.35606,-80.14731
81236,EQUITRANS INC/PRATT COMP STA,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110040929886,39.91766,-80.12438
18198,FIRESTONE BLDG PROD CO YOUNGWOOD PLT,9,,http://echo.epa.gov/detailed-facility-report?fid=110010986497,40.2458,-79.5703
26791,CONSOL PA COAL CO LLC/BAILEY PREP PLT,7,4.0,http://echo.epa.gov/detailed-facility-report?fid=110007334358,39.974672,-80.420907
17552,UNION ELECTRIC STEEL CORP,7,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000582977,40.4077,-80.4053
30810,TENASKA PA PARTNERS/WESTMORELAND GEN FAC,7,,http://echo.epa.gov/detailed-facility-report?fid=110060078810,40.175375,-79.692836
16806,GEN CARBIDE CORP/HEMPFIELD,4,2.0,http://echo.epa.gov/detailed-facility-report?fid=110041238130,40.28401,-79.57073000000003
51002,ARDEN LDFL/CHARTIERS TWP,4,,http://echo.epa.gov/detailed-facility-report?fid=110064209798,40.20842,-80.26477
26101,EASTMAN CHEMICAL COMPANY,3,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000583057,40.265833,-79.901111
29893,ELLIOTT CO/JEANNETTE,3,2.0,http://echo.epa.gov/detailed-facility-report?fid=110001139269,40.3372,-79.60799
48306,PA COAL RECLAMATION/MAGGIE LYNN QUARRY,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110060122932,40.004167,-80.046111
2566,OMNOVA SOLUTIONS INC JEANNETT E PA PLANT,3,,http://echo.epa.gov/detailed-facility-report?fid=110000583244,40.3252,-79.61308000000002
73537,GREYLOCK MIDSTREAM LLC/KUHL-SKIB COMP STA,3,,http://echo.epa.gov/detailed-facility-report?fid=110055589581,40.34857,-80.44836
12066,MARKWEST/THREE BROTHERS COMP STA,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110055589616,40.331944,-80.378333
31208,MASTER WOODCRAFT/WASHINGTON PLT,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001085058,40.207525,-80.25398100000002
33367,LEHIGH SPECIALTY MELTING INC,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000330204,40.30955,-79.38243
4862,KEYROCK ENERGY LLC/UNITY COMP STA,2,,http://echo.epa.gov/detailed-facility-report?fid=110060123414,40.22505200000001,-79.510917
39888,GOLDEN EAGLE CONST CO/EIGHTY FOUR PLT,2,,http://echo.epa.gov/detailed-facility-report?fid=110060051964,40.186793,-80.14471400000002
64703,PA TRANSFORMER TECH,2,,http://echo.epa.gov/detailed-facility-report?fid=110000329886,40.269072,-80.17065
68403,MARKWEST LIBERTY MIDSTREAM & RESOURCES/HOUSTON GAS PLT,1,2.0,http://echo.epa.gov/detailed-facility-report?fid=110046247138,40.25703,-80.25403
