,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
26101,EASTMAN CHEMICAL COMPANY,12,,http://echo.epa.gov/detailed-facility-report?fid=110000583057,40.265833,-79.901111
35012,PINEY FORK STP,12,,http://echo.epa.gov/detailed-facility-report?fid=110059972276,40.286689,-79.990877
50240,RIVERVIEW SANI AUTH STP,12,,http://echo.epa.gov/detailed-facility-report?fid=110014384861,40.527798,-80.180049
69665,SPRAGUE ENERGY BRIDGE ST BLK PLT,12,,http://echo.epa.gov/detailed-facility-report?fid=110038369128,40.17739,-80.26138
83876,BRADFORD RUN PRD PHASE 2,12,,http://echo.epa.gov/detailed-facility-report?fid=110070105375,40.201389,-80.24844399999998
84504,W.G. TOMKO FABRICATION SHOP AND ALTERATIONS,12,,http://echo.epa.gov/detailed-facility-report?fid=110070080097,40.246111,-80.003333
9172,CANONSBURG HOUSTON JT WWTP,11,4.0,http://echo.epa.gov/detailed-facility-report?fid=110010794257,40.25918,-80.18465
2287,HUSSEY COPPER LTD,11,,http://echo.epa.gov/detailed-facility-report?fid=110000328994,40.574131,-80.221311
10395,MASON DIXON REFUSE AREA,11,,http://echo.epa.gov/detailed-facility-report?fid=110069994689,40.27724,-80.16623
32138,MAX ENVIRONMENTAL - YUKON FACILITY,11,,http://echo.epa.gov/detailed-facility-report?fid=110039581592,40.2121,-79.6976
44925,ENSINGER NORTH AMERICAN HEADQUARTERS,11,,http://echo.epa.gov/detailed-facility-report?fid=110070105376,40.229278,-80.205917
47007,UNIVERSAL ELEC BUS,11,,http://echo.epa.gov/detailed-facility-report?fid=110059299101,40.30352,-80.1401
61559,SOUTHPOINTE FIELDHOUSE RELOCATION,11,,http://echo.epa.gov/detailed-facility-report?fid=110070145020,40.305083,-80.165972
66407,SOUTHERN BELTWAY TRANSPORTATION PROJECT SR 22 TO I-79,11,,http://echo.epa.gov/detailed-facility-report?fid=110070080098,40.360833,-80.23527800000002
70666,UG 34 EAST DEEP MINE,11,,http://echo.epa.gov/detailed-facility-report?fid=110069997974,40.27724,-80.16623
72405,COVI DOUGLAS STP,11,,http://echo.epa.gov/detailed-facility-report?fid=110010261251,40.478076,-80.121436
82677,MON RIVER SEWAGE CORP,11,,http://echo.epa.gov/detailed-facility-report?fid=110064209413,40.20006,-79.91373
32140,SEWICKLEY PINES MANOR STP,10,6.0,http://echo.epa.gov/detailed-facility-report?fid=110064280692,40.230578,-79.708924
54681,LATROBE MUN AUTH STP,10,1.0,http://echo.epa.gov/detailed-facility-report?fid=110064244214,40.31736,-79.3876
7896,MORGANTOWN TECH SVC/PERRY TWP PLT,10,,http://echo.epa.gov/detailed-facility-report?fid=110001089517,39.74881,-80.05653000000002
