,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
32138,MAX ENVIRONMENTAL - YUKON FACILITY,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110039581592,40.2121,-79.6976
26101,EASTMAN CHEMICAL COMPANY,12,,http://echo.epa.gov/detailed-facility-report?fid=110000583057,40.265833,-79.901111
57246,ANDERSON FITTINGS,12,,http://echo.epa.gov/detailed-facility-report?fid=110041992430,39.72277800000001,-80.261667
53230,ATOMIZED MATERIALS CO INC,7,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000329911,40.33827,-80.17343000000002
20257,FAMILY DOLLAR STORE NO 5046,7,,http://echo.epa.gov/detailed-facility-report?fid=110063587060,39.89652,-80.18958
40120,IDLEWILD PARK STP,6,,http://echo.epa.gov/detailed-facility-report?fid=110001033630,40.26141,-79.285853
82465,AMETEK SPECIALTY METAL PROD DIV,5,,http://echo.epa.gov/detailed-facility-report?fid=110006116700,40.196693,-80.133478
82647,BONOLA PA FAC,5,,http://echo.epa.gov/detailed-facility-report?fid=110000603357,40.236815,-79.96079
83425,FAMILY DOLLAR STORE NO 1356,4,,http://echo.epa.gov/detailed-facility-report?fid=110060314146,40.17576,-80.24328
52258,CVS PHARMACY #5094,3,,http://echo.epa.gov/detailed-facility-report?fid=110046539064,40.38247,-80.05233
46238,MEYER FRANK C PKG,2,,http://echo.epa.gov/detailed-facility-report?fid=110007339184,40.326126,-79.611046
84836,HOME DEPOT 4117,2,,http://echo.epa.gov/detailed-facility-report?fid=110031292884,40.45091,-80.1825
5185,RITE AID NO 10942,1,,http://echo.epa.gov/detailed-facility-report?fid=110059671485,40.370333,-80.032147
13157,PRECISION METAL CRAFTERS LTD,1,,http://echo.epa.gov/detailed-facility-report?fid=110016713494,40.28117,-79.54765
21731,FERRO CORP,1,,http://echo.epa.gov/detailed-facility-report?fid=110000583100,40.179107,-80.271785
23783,RITE AID NO 10956,1,,http://echo.epa.gov/detailed-facility-report?fid=110059671608,40.37551,-80.06919
26632,METAL FINISHING IND,1,,http://echo.epa.gov/detailed-facility-report?fid=110037442443,40.286393,-79.56971800000002
29893,ELLIOTT CO/JEANNETTE,1,,http://echo.epa.gov/detailed-facility-report?fid=110001139269,40.3372,-79.60799
33367,LEHIGH SPECIALTY MELTING INC,1,,http://echo.epa.gov/detailed-facility-report?fid=110000330204,40.30955,-79.38243
38392,TIGER DOOR LLC/HEMPFIELD,1,,http://echo.epa.gov/detailed-facility-report?fid=110040109762,40.28323,-79.5711
