,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
690,PAGELAND NORTHWEST PLANT,13,4.0,http://echo.epa.gov/detailed-facility-report?fid=110002238105,34.759722,-80.372778
6325,BRUNSON TOWN OF,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110006170810,32.893611,-81.20277800000002
6790,SOUTH FORGE APARTMENTS,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110002186296,33.933333000000005,-80.533333
8515,UNITED UTIL COMPS/BRIARCREEK S,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009794151,35.066666,-81.516666
8834,DENMARK CITY OF,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110002235420,33.294722,-81.126944
14954,SAGE AUTOMOTIVE INTERIORS - ABBEVILLE PLANT,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000354330,34.167221999999995,-82.37138900000002
16174,"LANCASTER CO SCH DIST BUFORD HS,",13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009704757,34.763889,-80.63194399999998
629,WAGENER TOWN OF,13,,http://echo.epa.gov/detailed-facility-report?fid=110009794142,33.645833,-81.370278
1118,GEORGETOWN COUNTY SCHOOL DISTRICT PLEASANT HILL ELEMENTARY,13,,http://echo.epa.gov/detailed-facility-report?fid=110013763150,33.67855,-79.35475
3196,BREWER PROPERTIES LLC HOLLY HILL MDF,13,,http://echo.epa.gov/detailed-facility-report?fid=110000351949,33.305556,-80.440278
3483,NINETY SIX WASTE WATER TREATMENT FACILITY,13,,http://echo.epa.gov/detailed-facility-report?fid=110008973539,34.155278,-81.983611
5025,MICHELIN NA INC - SANDY SPRINGS,13,,http://echo.epa.gov/detailed-facility-report?fid=110014402315,34.60233,-82.75816
8134,BOLEN POINT SD CARGILSELL,13,,http://echo.epa.gov/detailed-facility-report?fid=110002188873,32.73814,-80.56085
9602,EDGEFIELD CO WTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110039518377,33.56619,-82.02691
11429,EXIDE CORPORATION,13,,http://echo.epa.gov/detailed-facility-report?fid=110001128565,34.936944,-82.26
11742,COMBINED UTILITY SYSTEM,13,,http://echo.epa.gov/detailed-facility-report?fid=110002310311,34.844722,-82.588611
12420,UNITED UTIL/CHAMBERT FOREST SD,13,,http://echo.epa.gov/detailed-facility-report?fid=110009794222,34.63588,-82.52922
13309,CLINTON/JOANNA WASTEWATER TREATMENT PLANT,13,,http://echo.epa.gov/detailed-facility-report?fid=110000708413,34.391110999999995,-81.810833
13979,SOUTHERN WATER TREATMENT CO INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110000354296,34.80774,-82.43485
14717,PICKENS CO-LIBERTY/ROPER,13,,http://echo.epa.gov/detailed-facility-report?fid=110002186866,34.802778,-82.703611
