,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
13329,HORSEHEAD CORP,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110040451533,33.248394,-81.484959
19010,GRANITEVILLE SPECIALTY FABRICS,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110031367036,33.560569,-81.80996800000001
3762,TRINITY MEYER UTILITY STRUCTURES LLC PLT NO 1665,12,,http://echo.epa.gov/detailed-facility-report?fid=110000618751,34.644471,-80.700374
3950,CAPSCO INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110000354214,34.8794,-82.42756999999997
15051,"GIANT RESOURCE RECOVERY - SUMTER, INC",12,,http://echo.epa.gov/detailed-facility-report?fid=110000618724,33.906675,-80.331624
17474,MEDICAL UNIVERSITY OF SOUTH CAROLINA (MUSC),12,,http://echo.epa.gov/detailed-facility-report?fid=110000618797,32.785665,-79.94674499999998
14054,CAROLINA FILTERS INCORPORATED,10,,http://echo.epa.gov/detailed-facility-report?fid=110001138171,33.89949,-80.33478000000002
14455,DUKE ENERGY OCONEE NUCLEAR STATION,10,,http://echo.epa.gov/detailed-facility-report?fid=110008561449,34.79336,-82.90312
17429,CVS PHARMACY 4287,10,,http://echo.epa.gov/detailed-facility-report?fid=110045990905,35.00731,-80.93414
19102,IRIX MANUFACTURING INCORPORATED,9,2.0,http://echo.epa.gov/detailed-facility-report?fid=110002258510,34.76334,-82.36492
8122,PALMETTO PLATING CO INC,8,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007838386,34.82927100000001,-82.566399
1481,MILLIKEN CHEMICAL - DEWEY PLANT,7,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000498550,35.026944,-82.065833
9985,CAPSUGEL DISTRIBUTION CENTER - CLOSED,7,1.0,http://echo.epa.gov/detailed-facility-report?fid=110018864219,34.73858,-82.36796
4303,CRYOVAC SIMPSONVILLE,7,,http://echo.epa.gov/detailed-facility-report?fid=110042037408,34.746990000000004,-82.26385
1391,PERRIGO COMPANY,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001666787,34.802209999999995,-82.35675
4873,LUBRIZOL ADVANCED MATERIALS,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000542985,35.01056,-81.87635
7558,SAFETY-KLEEN SYS  (306601),5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000354697,34.90167,-82.16633
313,BLACKMAN UHLER CHEMICAL COMPANY,5,,http://echo.epa.gov/detailed-facility-report?fid=110000352797,34.919444,-81.850833
5546,WESTINGHOUSE ELECTRIC COMPANY LLC COLUMBIA FUEL FABRICATION FACILITY,5,,http://echo.epa.gov/detailed-facility-report?fid=110017326339,33.881944,-80.920556
14888,HUBNER MFG,5,,http://echo.epa.gov/detailed-facility-report?fid=110001672770,32.84352,-79.87313
