,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
52249,CHI ST JOSEPH HEALTH REGIONAL CENTER,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110005011860,30.655590000000004,-96.34668
112131,TEXAS A&M UNIVERSITY GEOCHEMICAL & ENVIRONMENTAL,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110005126719,30.57048,-96.29444
14706,GOOSENECK TRAILER MFG,12,,http://echo.epa.gov/detailed-facility-report?fid=110000599647,30.704748,-96.351051
33917,SONOCO FLEXIBLE PACKAGING,12,,http://echo.epa.gov/detailed-facility-report?fid=110005108490,31.489320000000006,-97.17464
84788,SOUTHERN ENTERPRISES OF ENVIROCARE,8,1.0,http://echo.epa.gov/detailed-facility-report?fid=110005178716,31.31268,-97.25898
65291,CC CREATIONS,4,,http://echo.epa.gov/detailed-facility-report?fid=110005046654,30.65217,-96.40998
19747,VANTRAN INDUSTRIES,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000460509,31.49574,-97.19998
4999,VOSSLOH FASTENING SYSTEMS,2,,http://echo.epa.gov/detailed-facility-report?fid=110064014418,31.462383000000006,-97.356441
26665,KOMICO TECHNOLOGY AUSTIN,1,,http://echo.epa.gov/detailed-facility-report?fid=110033157786,30.472520000000006,-97.67594
30371,THE CLEANING GUYS,1,,http://echo.epa.gov/detailed-facility-report?fid=110070122986,30.46484,-97.65848
65162,BAYLOR UNIVERSITY,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110033292693,31.546940000000006,-97.1124
73044,TRACTOR SUPPLY DISTRIBUTION CENTER 398,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110035044305,31.48613,-97.15717
93916,OMNICARE OF WACO,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110064671813,31.51882,-97.21348
450,RTI DIRECTED MANUFACTURING,0,,http://echo.epa.gov/detailed-facility-report?fid=110070435222,30.43801,-97.64635
1232,WORTHAM STATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110008152925,31.7775,-96.403328
1272,TARRANT COUNTY WCID 1 STREETMAN,0,,http://echo.epa.gov/detailed-facility-report?fid=110013297716,31.93232,-96.1131
2017,WALMART SUPERCENTER #7156,0,,http://echo.epa.gov/detailed-facility-report?fid=110070122958,31.459941,-97.174986
2053,BURLINGTON NORTHERN AND SANTA FE RAILWAY,0,,http://echo.epa.gov/detailed-facility-report?fid=110001147116,30.360014000000003,-96.534439
2975,DISCOUNT CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110031374260,30.65575,-96.33775
3002,FAMILY DOLLAR #3747,0,,http://echo.epa.gov/detailed-facility-report?fid=110063680182,30.64456,-96.35227
