,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
42255,INEOS USA LLC - CHOCOLATE BAYOU PLANT,12,4.0,http://echo.epa.gov/detailed-facility-report?fid=110000606933,29.413774,-95.263726
53035,CHAMPION TECHNOLOGIES INC,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110000463454,29.54116,-95.44773
45124,TEXAS INSTRUMENTS STAFFORD,12,,http://echo.epa.gov/detailed-facility-report?fid=110000462543,29.647,-95.575
107366,W A PARISH ELECTRIC GENERATING STATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110000608254,29.478295000000006,-95.635775
50001,BLUE RIDGE LANDFILL,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110033518076,29.555893,-95.441863
47132,22820 TRENCH BURNER,1,,http://echo.epa.gov/detailed-facility-report?fid=110070236012,29.612015000000003,-95.71383
109582,NALCO CO PLANT 106,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110024035970,29.6192,-95.6375
3114,"KEESHAN AND BOST CHEMICAL CO., INC.",0,,http://echo.epa.gov/detailed-facility-report?fid=110000599479,29.4584,-95.3304
14778,"DYNEGY MIDSTREAM SERVICES, LP",0,,http://echo.epa.gov/detailed-facility-report?fid=110038106894,29.59,-95.965
14790,MANVEL COMPRESSOR STATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110001869835,29.440878,-95.361227
19228,BEASLEY PLANT,0,,http://echo.epa.gov/detailed-facility-report?fid=110033960854,29.480339,-95.959556
20508,EXXON MOBIL CORPORATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110007203668,29.54056,-95.14192
21084,AIR CURTAIN INCINERATOR SN10100003,0,,http://echo.epa.gov/detailed-facility-report?fid=110070551318,29.6203,-95.18723
22113,CROWN CORK & SEAL PLANT 060,0,,http://echo.epa.gov/detailed-facility-report?fid=110000462561,29.63725,-95.61337
25108,FRIENDSWOOD NO 4-BOOSTER COMPRESSOR STATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110038106938,29.568611,-95.1775
28092,WAL-MART AUTO CENTER,0,,http://echo.epa.gov/detailed-facility-report?fid=110009501093,29.52521,-95.1281
31301,MARTIN MARIETTA MATERIALS,0,,http://echo.epa.gov/detailed-facility-report?fid=110007193928,29.539140000000003,-95.80842
32497,THOMPSONS JHP DAVIS 5,0,,http://echo.epa.gov/detailed-facility-report?fid=110007395194,29.43778,-95.55471
35112,NEEDVILLE COMPR STATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110007395185,29.366670000000006,-95.73528
38473,FRIENDSWOOD NO 2 WATERFLOOD STATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110015737372,29.55223,-95.17414
