,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
5352,US RV PARK WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110035258155,29.558888,-95.689444
11852,CITY OF MANVEL WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110009772022,29.47372,-95.3703
28325,EXXONMOBIL CORPORATION,13,,http://echo.epa.gov/detailed-facility-report?fid=110011276298,29.5813,-95.19389
58061,ROSEMEADOWS III - WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110010920557,29.400762,-95.791567
78762,MEADOWLAND UTILITY WWTP,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009773799,29.469389000000003,-95.269639
27957,GULF COAST CONCRETE AND SHELL,12,,http://echo.epa.gov/detailed-facility-report?fid=110030771092,29.5648,-95.70699
37953,IPC SYNOTT ROAD FACILITY,12,,http://echo.epa.gov/detailed-facility-report?fid=110017692754,29.66693,-95.61746
76100,FLEXICORE OF TEXAS,12,,http://echo.epa.gov/detailed-facility-report?fid=110012802725,29.58158,-95.43325
96280,CINCO SOUTHWEST WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110012293829,29.705139000000006,-95.811306
1369,CROSS CREEK RANCH WWTF,11,,http://echo.epa.gov/detailed-facility-report?fid=110055045561,29.6958,-95.8776
2456,CITY OF RICHMOND SOUTH WWTP,11,,http://echo.epa.gov/detailed-facility-report?fid=110030995127,29.545128,-95.719004
5912,FULSHEAR READY MIX CONCRETE,11,,http://echo.epa.gov/detailed-facility-report?fid=110070100266,29.71735,-95.92168
22420,SOUTH HOUSTON CONCRETE PIPE,11,,http://echo.epa.gov/detailed-facility-report?fid=110045690347,29.62685,-95.18369
42255,INEOS USA LLC - CHOCOLATE BAYOU PLANT,11,,http://echo.epa.gov/detailed-facility-report?fid=110000606933,29.413774,-95.263726
42491,PLANT 1,11,,http://echo.epa.gov/detailed-facility-report?fid=110070031017,29.5454,-95.76316
50988,CITY OF ROSENBERG,11,,http://echo.epa.gov/detailed-facility-report?fid=110000502607,29.565556,-95.798611
57082,WILLOW MANOR MOBILE HOME PARK,11,,http://echo.epa.gov/detailed-facility-report?fid=110007206102,29.53063,-95.41674
71183,GRAND MISSION MUD 1  WWTP,11,,http://echo.epa.gov/detailed-facility-report?fid=110064608606,29.689944,-95.723833
111871,WALSH ROAD OPERATION,11,,http://echo.epa.gov/detailed-facility-report?fid=110038198438,29.53685,-95.83899
26681,FT BEND CO MUD 58 WWTF,10,1.0,http://echo.epa.gov/detailed-facility-report?fid=110055045525,29.738528,-95.828833
