,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
85344,CITY OF ASHERTON,13,,http://echo.epa.gov/detailed-facility-report?fid=110010922779,28.460444,-99.750167
104219,EL PASO COUNTY WCID 4 WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110006687175,31.507581,-106.163121
19459,QUAIL RUN SERVICES,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110055045589,31.319722,-103.621111
101329,CITY OF COTULLA WWTP,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010842749,28.427361,-99.220056
82996,CITY OF SABINAL WWTP,12,,http://echo.epa.gov/detailed-facility-report?fid=110024465005,29.322823,-99.486024
63269,CITY OF DILLEY WWTF,11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009772273,28.654083,-99.198056
80191,CITY OF CASTROVILLE WWTF,11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110027991957,29.343888,-98.884166
7149,MAIN WWTF,11,,http://echo.epa.gov/detailed-facility-report?fid=110009774994,30.673611,-101.213361
10694,CITY OF BIG WELLS WWTF,11,,http://echo.epa.gov/detailed-facility-report?fid=110010131106,28.566861,-99.580806
20881,UVALDE NATIONAL FISH HATCHERY,11,,http://echo.epa.gov/detailed-facility-report?fid=110030452310,29.189313,-99.834184
40354,CARRIZO SPRINGS WWTP,11,,http://echo.epa.gov/detailed-facility-report?fid=110064596101,28.54444,-99.803333
50601,SOMERSET WWTP,11,,http://echo.epa.gov/detailed-facility-report?fid=110006683589,29.214583,-98.649417
59286,FM 417 SITE,11,,http://echo.epa.gov/detailed-facility-report?fid=110064603594,29.52271,-98.80934
59563,HWY 211 READY MIX,11,,http://echo.epa.gov/detailed-facility-report?fid=110055499642,29.56679,-98.79253
65698,CRANE PLANT,11,,http://echo.epa.gov/detailed-facility-report?fid=110067581833,31.40459,-102.35258
73358,EAGLE PASS STP,11,,http://echo.epa.gov/detailed-facility-report?fid=110039882071,28.648891,-100.453502
87231,ALAMO CONCRETE PRODUCTS DUNLAY PLANT 83,11,,http://echo.epa.gov/detailed-facility-report?fid=110040353738,29.210313,-98.591869
101925,FORT HANCOCK WWTP,11,,http://echo.epa.gov/detailed-facility-report?fid=110037517693,31.283055,-105.841666
35890,CITY OF ALPINE MUNICIPAL WWTF,10,3.0,http://echo.epa.gov/detailed-facility-report?fid=110013684986,30.398944,-103.644694
57668,CITY OF CRYSTAL CITY,10,1.0,http://echo.epa.gov/detailed-facility-report?fid=110034538542,28.6969,-99.8176
