,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
14068,MOTIVA ENTERPRISES LLC DALLAS TERMINAL,7,,http://echo.epa.gov/detailed-facility-report?fid=110000495027,32.77884,-96.88443
12016,CITY OF GRAND PRAIRIE LANDFILL,1,2.0,http://echo.epa.gov/detailed-facility-report?fid=110030493437,32.771291999999995,-96.96002
311,VOUGHT MARSHALL STREET FACILITY,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110037839505,32.720646,-97.028069
20084,GMC TRUCK GROUP ARLINGTON ASSEMBLY PLANT,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001868658,32.73533,-97.06772
105817,OWENS CORNING IRVING,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001866801,32.815690000000004,-96.93434
77,NATIONAL LINEN SERVICE,0,,http://echo.epa.gov/detailed-facility-report?fid=110001876863,32.7709,-96.83308
387,AMERICAN INTERNATNL MFG CO OF TEXAS,0,,http://echo.epa.gov/detailed-facility-report?fid=110001869363,32.8017,-97.30845
1129,"ARLINGTON MARBLE, INC.",0,,http://echo.epa.gov/detailed-facility-report?fid=110001868854,32.7115,-97.22261
3957,RUDOLPH FOODS,0,,http://echo.epa.gov/detailed-facility-report?fid=110021037402,32.76915,-96.88207
4594,SUNBELT CHEMICALS,0,,http://echo.epa.gov/detailed-facility-report?fid=110002454317,32.86156,-96.87576
4605,JACOBS IRON AND METAL,0,,http://echo.epa.gov/detailed-facility-report?fid=110001880395,32.78303,-96.89186
5025,PVI INDUSTRIES INCORPORAT,0,,http://echo.epa.gov/detailed-facility-report?fid=110000459584,32.76221,-97.30103
5236,LANE SUPPLY INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110000458843,32.73697,-97.08548
7949,DALLAS STEEL DRUMS INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110001869425,32.77864,-96.8584
9555,THOMAS STEEL DRUMS,0,,http://echo.epa.gov/detailed-facility-report?fid=110032992171,32.80771,-97.31069
9798,U.S. PLATING COMPOANY,0,,http://echo.epa.gov/detailed-facility-report?fid=110000457602,32.84138,-96.86054
10307,LEGGETT & PLATT INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110064117245,32.67243,-97.32107
13297,BACY'S DRY CLEANING,0,,http://echo.epa.gov/detailed-facility-report?fid=110001874366,32.70591,-97.322155
13580,SYLVANIA,0,,http://echo.epa.gov/detailed-facility-report?fid=110000505329,32.809157,-97.3084
14876,PRO CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110001871555,32.742059999999995,-97.01411
