,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
12814,TRAVELERS INN - PETERSBURG,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110062647621,37.08589,-77.35739000000002
22207,DUTOY CREEK WWTP,11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110015314284,37.5117,-77.77454
5840,CHILDRENS HOME OF VIRGINIA BAPTIST INCORPORATED,11,,http://echo.epa.gov/detailed-facility-report?fid=110010915956,37.263258,-77.489236
13301,SOLID ROCK WORLDWIDE OUTREACH MINISTRY,11,,http://echo.epa.gov/detailed-facility-report?fid=110070598260,36.61044,-76.20215
17005,MURPHYS TRAILER PARK WWTP A,11,,http://echo.epa.gov/detailed-facility-report?fid=110070601344,36.97756,-76.55273000000003
22797,THREE CREEK WWTP,11,,http://echo.epa.gov/detailed-facility-report?fid=110039940696,36.72868,-77.51189000000002
33734,FELLOWSHIP DELIVERANCE CHURCH,11,,http://echo.epa.gov/detailed-facility-report?fid=110070598556,36.699103,-76.326444
5781,DOC - SOUTHAMPTON CORRECTIONAL CENTER - BELFIED,10,1.0,http://echo.epa.gov/detailed-facility-report?fid=110005246634,36.722094,-77.255792
19200,CONCRETE PRECAST SYSTEMS INC - CHESAPEAKE,10,1.0,http://echo.epa.gov/detailed-facility-report?fid=110002342787,36.7642,-76.29419
19914,SOLENIS LLC,10,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070828262,36.6512,-76.999045
6632,US ARMY GARRISON FORT LEE VA,10,,http://echo.epa.gov/detailed-facility-report?fid=110000826116,37.24,-77.34
16141,POWHATAN COMMUNITY CHURCH,10,,http://echo.epa.gov/detailed-facility-report?fid=110070602211,37.56214,-77.96131
26425,GEORGIA PACIFIC WOOD PRODUCTS LLC - SKIPPERS,10,,http://echo.epa.gov/detailed-facility-report?fid=110002402720,36.548931,-77.524872
6961,WILLIAMS MILTON RESIDENCE,9,,http://echo.epa.gov/detailed-facility-report?fid=110070603296,36.704722,-77.088222
19635,HARBOUR EAST VILLAGE WWTP,9,,http://echo.epa.gov/detailed-facility-report?fid=110010915714,37.34979000000001,-77.373729
24346,RCCG HOUSE OF PRAISE,9,,http://echo.epa.gov/detailed-facility-report?fid=110070599822,36.71298,-76.32285
2078,CHESAPEAKE REGIONAL AIRPORT,8,1.0,http://echo.epa.gov/detailed-facility-report?fid=110020787665,36.66699000000001,-76.33039000000002
10575,CAPRON TOWN - ELEMENTARY SCHOOL,8,,http://echo.epa.gov/detailed-facility-report?fid=110010915910,36.70542,-77.18992
18668,SPRING BRANCH WASTE WATER TREATMENT FACILITY,8,,http://echo.epa.gov/detailed-facility-report?fid=110010914662,37.050329,-77.08596999999997
27702,SKIPPERS WASTEWATER TREATMENT FACILITY,8,,http://echo.epa.gov/detailed-facility-report?fid=110010915750,36.60473,-77.56664
