,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
23320,ANDEAVOR ANACORTES REFINERY,4,8.0,http://echo.epa.gov/detailed-facility-report?fid=110000537250,48.489534,-122.564292
2831,SHELL OIL PRODUCTS US PUGET SOUND REFINERY,3,6.0,http://echo.epa.gov/detailed-facility-report?fid=110008214360,48.472836,-122.560194
13389,PACIFIC WOODTECH,2,3.0,http://echo.epa.gov/detailed-facility-report?fid=110017940433,48.487111,-122.328036
32547,CHEMTRADE,1,4.0,http://echo.epa.gov/detailed-facility-report?fid=110000773333,48.4795,-122.5577
911,AIR LIQUIDE HYDROGEN PLANT,1,2.0,http://echo.epa.gov/detailed-facility-report?fid=110043973055,48.467675,-122.553982
30368,ENCOGEN NORTHWEST COGENERATION PLANT,1,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000490013,48.745534,-122.486213
3274,SIERRA PACIFIC INDUSTRIES,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110031256316,48.448041,-122.433615
16897,CEDAR GROVE COMPOSTING,0,11.0,http://echo.epa.gov/detailed-facility-report?fid=110031335179,48.029934,-122.199959
19264,BOEING COMMERCIAL AIRPLANE GROUP EVERETT,0,11.0,http://echo.epa.gov/detailed-facility-report?fid=110017406788,47.923302,-122.273197
11576,ZODIAC AEROSPACE,0,8.0,http://echo.epa.gov/detailed-facility-report?fid=110000490184,48.112123,-122.182142
9424,EAST VALLEY SAND & GRAVEL,0,4.0,http://echo.epa.gov/detailed-facility-report?fid=110069328178,48.17693,-122.15262
36675,GRANITE CONSTRUCTION COMPANY,0,3.0,http://echo.epa.gov/detailed-facility-report?fid=110016685247,48.01692,-122.1829
24823,MACKENZIE SPECIALTY CASTINGS INC,0,2.0,http://echo.epa.gov/detailed-facility-report?fid=110070102355,48.17263,-122.14608
2973,MAAX HYDRO SWIRL MANUFACTURING,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000490059,48.781591,-122.447329
5381,"SILVER HORDE FISHING SUPPLIES, INC",0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110020903539,47.89622,-122.29014
13681,QUEEN CITY PLATING CO INC,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000829550,47.89019,-122.28906
17881,PROVIDENCE GENERAL MEDICAL CENTER,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110015408058,47.99971,-122.20801000000002
19282,ACHILLES USA,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000489891,47.926694,-122.253842
19493,"CADMAN MATERIALS, INC. (CADMAN)",0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110020498834,48.01283,-122.2104
21099,FREDONIA GENERATING STATION,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001917007,48.4549,-122.4351
