,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
19737,BELLINGHAM POST POINT WWTP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110061176016,48.717831,-122.513963
1299,SKAGIT RIVER STEEL & SUPPLY INC,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110015454989,48.464375,-122.327194
3366,SKAGIT CNTY TRANSFER & RECYCLING STATION,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110046413305,48.457219,-122.466666
14282,EVERETT PORT MARINE TERMINAL PIER 1 SOUTH,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110005324327,47.97511400000001,-122.225035
16793,AMERICOLD BURLINGTON PLANT 80542,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000568369,48.473825,-122.333633
19347,AMERON POLE PRODUCTS,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001138894,48.003185,-122.218208
23320,ANDEAVOR ANACORTES REFINERY,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000537250,48.489534,-122.564292
29629,BORNSTEIN SEAFOODS INC,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110015415031,48.75462,-122.493118
34652,LARRYS AUTO & TRUCK PARTS INC,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110015541564,48.45892,-122.332535
117,DUNROVEN RANCH,13,,http://echo.epa.gov/detailed-facility-report?fid=110063752737,48.00625,-122.18796
211,PICK N PULL AUTO DISMANTLERS,13,,http://echo.epa.gov/detailed-facility-report?fid=110054929306,47.831745,-122.307037
526,HOPPER ROAD BUSINESS PARK,13,,http://echo.epa.gov/detailed-facility-report?fid=110040164997,48.451773,-122.331125
795,BURLINGTON WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110015584330,48.46748,-122.312867
912,SWINOMISH SHELTER BAY COMMUNITY WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110015482798,48.387904,-122.504461
1297,HUGHES FARMS CONSTRUCTION,13,,http://echo.epa.gov/detailed-facility-report?fid=110043245075,48.453862,-122.441028
1324,TULALIP TRIBES BATTLE CREEK POND,13,,http://echo.epa.gov/detailed-facility-report?fid=110005310234,48.05571,-122.27115
1745,ALL BATTERIES SALES & SERVICE,13,,http://echo.epa.gov/detailed-facility-report?fid=110041686459,47.881714,-122.258339
1793,NELSON PETROLEUM EVERETT 2,13,,http://echo.epa.gov/detailed-facility-report?fid=110015429696,47.927003000000006,-122.248975
1979,PALMER PLACE II,13,,http://echo.epa.gov/detailed-facility-report?fid=110070080903,48.068952,-122.120904
2203,BDZ CONSTRUCTION,13,,http://echo.epa.gov/detailed-facility-report?fid=110064388746,47.978004,-122.184065
