,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
33997,RIVERSIDE PARK WATER RECLAMATION FACILITY,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000562347,47.695191,-117.473588
35328,ENDICOTT STP,13,2.0,http://echo.epa.gov/detailed-facility-report?fid=110040115522,46.930672,-117.691854
19228,SPOKANE STATE FISH HATCHERY,13,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010909071,47.766662,-117.460316
673,WILBUR STP,13,,http://echo.epa.gov/detailed-facility-report?fid=110009763577,47.767484,-118.726877
861,COLLEGE PLACE WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110005401029,46.031406,-118.41993
2670,PONDERAY NEWSPRINT,13,,http://echo.epa.gov/detailed-facility-report?fid=110000491398,48.2901,-117.2706
2922,METALINE FALLS STP,13,,http://echo.epa.gov/detailed-facility-report?fid=110015531682,48.863163,-117.364004
4085,DAYTON STP,13,,http://echo.epa.gov/detailed-facility-report?fid=110015540413,46.315508,-118.002533
5926,PULLMAN WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110061141081,46.738294,-117.189612
6013,REARDAN TOWN STP,13,,http://echo.epa.gov/detailed-facility-report?fid=110009763595,47.67166,-117.884586
10351,MEDICAL LAKE WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110040464798,47.583951,-117.682887
10650,TEKOA STP,13,,http://echo.epa.gov/detailed-facility-report?fid=110009764638,47.22759,-117.083374
12134,OAKESDALE STP,13,,http://echo.epa.gov/detailed-facility-report?fid=110009763540,47.121964,-117.228708
12341,HELENA CHEMICAL COMPANY CENTRAL FERRY,13,,http://echo.epa.gov/detailed-facility-report?fid=110000558646,46.631279,-117.802051
12442,WAITSBURG STP,13,,http://echo.epa.gov/detailed-facility-report?fid=110015558591,46.271445,-118.170351
12761,SAINT JOHN WWTP,13,,http://echo.epa.gov/detailed-facility-report?fid=110009765012,47.093647,-117.587929
12796,ODESSA STP,13,,http://echo.epa.gov/detailed-facility-report?fid=110015553943,47.334075,-118.699679
13015,METALINE STP,13,,http://echo.epa.gov/detailed-facility-report?fid=110055005836,48.855606,-117.386145
14140,ASOTIN COUNTY LANDFILL,13,,http://echo.epa.gov/detailed-facility-report?fid=110014017241,46.383767,-117.111887
15178,FREEMAN SCHOOLS,13,,http://echo.epa.gov/detailed-facility-report?fid=110005316167,47.519536,-117.196187
