REGISTRY_ID,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL
110009556701,TRU-VISION DBA CAMPUS CLEANERS,12,,http://echo.epa.gov/detailed-facility-report?fid=110009556701
110022513957,LOWRY AIR FORCE BASE,12,,http://echo.epa.gov/detailed-facility-report?fid=110022513957
110044804815,HERITAGE-CRYSTAL CLEAN LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110044804815
110002970474,APP-UNIPATH LLC,4,,http://echo.epa.gov/detailed-facility-report?fid=110002970474
110064377525,ENGLEWOOD POST ACUTE AND REHABILITATION,4,,http://echo.epa.gov/detailed-facility-report?fid=110064377525
110054142067,POWER ENGINEERING,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110054142067
110070431215,COLORADO LABEL AND PACKAGING,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110070431215
110009560233,DENVER PUBLIC SCHOOLS  VEHICLE MAINT.,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009560233
110002397629,PRESBYTERIAN ST LUKES,3,,http://echo.epa.gov/detailed-facility-report?fid=110002397629
110001428394,RED CARPET CLNRS,3,,http://echo.epa.gov/detailed-facility-report?fid=110001428394
110064376955,JUNIPER VILLAGE - THE SPEARLY CENTER,3,,http://echo.epa.gov/detailed-facility-report?fid=110064376955
110002985253,KAISER PERMANENTE-STAPLETON SUPPORT SERVICES,3,,http://echo.epa.gov/detailed-facility-report?fid=110002985253
110064018254,AUTUMN HEIGHTS,3,,http://echo.epa.gov/detailed-facility-report?fid=110064018254
110066945783,WURTH LOUIS & COMPANY,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110066945783
110002963160,ROCKY MOUNTAIN ORTHODONTICS,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110002963160
110000887942,UPSHER-SMITH LABORATORIES,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000887942
110070157713,THCHOCOLATE LLC,2,,http://echo.epa.gov/detailed-facility-report?fid=110070157713
110064018245,ASPEN SIESTA,2,,http://echo.epa.gov/detailed-facility-report?fid=110064018245
110044929245,MELY CLEANERS,2,,http://echo.epa.gov/detailed-facility-report?fid=110044929245
110000859349,ARDCO CORPORATION,2,,http://echo.epa.gov/detailed-facility-report?fid=110000859349
