,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL
121670,J.E.D. SOLID WASTE MANAGEMENT FACILITY,5,,http://echo.epa.gov/detailed-facility-report?fid=110034130964
74770,"JELD-WEN, INC.",2,,http://echo.epa.gov/detailed-facility-report?fid=110001738932
86571,ORANGE COUNTY UTILITIES SOLID WASTE DIV.,2,,http://echo.epa.gov/detailed-facility-report?fid=110041184697
43647,PROAMPAC,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000363240
39950,CURTIS H STANTON ENERGY CENTER,1,,http://echo.epa.gov/detailed-facility-report?fid=110025384368
53387,"SOFIDEL AMERICA, INC.",1,,http://echo.epa.gov/detailed-facility-report?fid=110035661290
53507,"BIMBO BAKERIES USA, INC.",1,,http://echo.epa.gov/detailed-facility-report?fid=110046592148
55614,STANDARD SAND & SILICA CO,1,,http://echo.epa.gov/detailed-facility-report?fid=110007080577
66371,GRANDE LAKES ORLANDO,1,,http://echo.epa.gov/detailed-facility-report?fid=110040136000
163,FLORIDA GAS TRANSMISSION COMPANY,0,,http://echo.epa.gov/detailed-facility-report?fid=110038088805
4212,GREENWAY FORD INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110056374418
4467,MIDDLESEX ASPHALT LLC,0,,http://echo.epa.gov/detailed-facility-report?fid=110015626241
5320,UNIFIRST CORPORATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110070520680
5385,COURTESY COLLISION CENTER AIRPORT,0,,http://echo.epa.gov/detailed-facility-report?fid=110069435784
8397,CEMEX - KISSIMMEE CBP,0,,http://echo.epa.gov/detailed-facility-report?fid=110027963087
8495,PREFERRED MATERIALS INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110027963309
8717,FLORIDA SOIL CEMENT LLC,0,,http://echo.epa.gov/detailed-facility-report?fid=110039613754
10538,HARDSCAPE CRUSHER,0,,http://echo.epa.gov/detailed-facility-report?fid=110039609581
11051,COASTAL AN OLDCASTLE COMPANY,0,,http://echo.epa.gov/detailed-facility-report?fid=110025331772
11465,BVL DRYCLEANERS & MORE INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110007421539
