,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL
54530,FEDERAL-MOGUL MOTORPARTS,2,2.0,http://echo.epa.gov/detailed-facility-report?fid=110018269112
8777,CD ONE PRICE CLEANERS,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110012280370
55783,PRESENCE RESURRECTION MEDICAL CENTER,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001803317
59185,TAPECOAT CO INC,1,,http://echo.epa.gov/detailed-facility-report?fid=110000432112
4535,ALAMP CONCRETE CONTRACTORS INC,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110055586487
25272,FORT DEARBORN CO,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001816269
31916,REGIS TECHNOLOGIES INC,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000429661
48877,SKOKIE ISTP LLC,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110002390840
51696,NORTHWEST COMMUNITY HOSPITAL,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001818249
93157,AMERICAN LOUVER CO,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000888629
126,FOOD 4 LESS 558,0,,http://echo.epa.gov/detailed-facility-report?fid=110038507121
308,SATE-LITE MANUFACTURING CO,0,,http://echo.epa.gov/detailed-facility-report?fid=110020519045
583,CRO-MAT CO,0,,http://echo.epa.gov/detailed-facility-report?fid=110018284729
585,MASTER CARE CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110005795489
845,7 ELEVEN STORE 30122,0,,http://echo.epa.gov/detailed-facility-report?fid=110070359510
935,IL BELL TELEPHONE CO DBA AT&T ILLINOIS,0,,http://echo.epa.gov/detailed-facility-report?fid=110013680285
941,TOP CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110005866759
987,RAVENSWOOD STUDIO INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110001819541
1119,ROGER W GRANDT SUPER SVC INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110070684370
1127,FEL-PRO CHEMICAL PRODUCTS L.P.,0,,http://echo.epa.gov/detailed-facility-report?fid=110000768679
