REGISTRY_ID,FAC_NAME,noncomp_count,CWA_FORMAL_ACTION_COUNT,DFR_URL
110000772673,FLUID HANDLING LLC,13,,http://echo.epa.gov/detailed-facility-report?fid=110000772673
110017704377,"SKOKIE, VILLAGE OF",13,,http://echo.epa.gov/detailed-facility-report?fid=110017704377
110039909338,MWRDGC TERRENCE J O'BRIEN WTR RECLAMATION PLANT,13,,http://echo.epa.gov/detailed-facility-report?fid=110039909338
110014449757,"LINCOLNWOOD CSOS, VILLAGE OF",13,,http://echo.epa.gov/detailed-facility-report?fid=110014449757
110018425202,NORTHFIELD TOWNSHIP,13,,http://echo.epa.gov/detailed-facility-report?fid=110018425202
110011686577,"WINNETKA, VILLAGE OF",13,,http://echo.epa.gov/detailed-facility-report?fid=110011686577
110018172528,WINNETKA ELECTRIC PLANT,13,,http://echo.epa.gov/detailed-facility-report?fid=110018172528
110000429652,JOHN CRANE INC,13,,http://echo.epa.gov/detailed-facility-report?fid=110000429652
110017705081,"NILES, VILLAGE OF",13,,http://echo.epa.gov/detailed-facility-report?fid=110017705081
110063615734,SURFACE DISCHARGING SYSTEM 5,11,,http://echo.epa.gov/detailed-facility-report?fid=110063615734
110001229910,BARNEY II FOUNDATION,11,,http://echo.epa.gov/detailed-facility-report?fid=110001229910
110015661586,VILLAGE OF GOLF CSOS,11,,http://echo.epa.gov/detailed-facility-report?fid=110015661586
110017706936,"GOLF, VILLAGE OF",4,,http://echo.epa.gov/detailed-facility-report?fid=110017706936
110014449392,"ARLINGTON HEIGHTS CSOS, VILLAGE OF",4,,http://echo.epa.gov/detailed-facility-report?fid=110014449392
110005915812,"MORTON GROVE CSOS, VILLAGE OF",1,,http://echo.epa.gov/detailed-facility-report?fid=110005915812
110017705018,"MOUNT PROSPECT, VILLAGE OF",1,,http://echo.epa.gov/detailed-facility-report?fid=110017705018
110018101597,UNITED PARCEL SERVICE - NORTHBROOK,1,,http://echo.epa.gov/detailed-facility-report?fid=110018101597
110000428680,SHELL PIPELINE COMPANY LP,1,,http://echo.epa.gov/detailed-facility-report?fid=110000428680
110017703591,"WILMETTE, VILLAGE OF",0,,http://echo.epa.gov/detailed-facility-report?fid=110017703591
110054115131,CITY OF DES PLAINES,0,,http://echo.epa.gov/detailed-facility-report?fid=110054115131
