REGISTRY_ID,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL
110007283652,"TEXAS EASTERN TRANSMISSION, LP",12,,http://echo.epa.gov/detailed-facility-report?fid=110007283652
110000396385,COUNTRYMARK REFINING & LOGISTICS LLC,8,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000396385
110001678024,AMERICAN WOODMARK CORPORATION,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001678024
110033155920,NESTLE USA INC BEVERAGE DIV,5,,http://echo.epa.gov/detailed-facility-report?fid=110033155920
110055148022,GREENVILLE TECHNOLOGY INC,5,,http://echo.epa.gov/detailed-facility-report?fid=110055148022
110000401583,HARTSON KENNEDY CABINET TOP COMPANY INC,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000401583
110001351643,HARDING MATERIALS LLC,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001351643
110001351769,ST VINCENT HOSP & HEALTH CARE CTR,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001351769
110000578429,NOVIPAX LLC,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000578429
110000493868,NEW INDY HARTFORD CITY LLC,2,,http://echo.epa.gov/detailed-facility-report?fid=110000493868
110000402742,MAYCO INTERNATIONAL,2,,http://echo.epa.gov/detailed-facility-report?fid=110000402742
110030482047,CENTRAL INDIANA ETHANOL LLC,1,2.0,http://echo.epa.gov/detailed-facility-report?fid=110030482047
110058782848,"HEARTLAND SWEETENERS, LLC",1,2.0,http://echo.epa.gov/detailed-facility-report?fid=110058782848
110055445488,MOFAB INC.,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110055445488
110045449261,ATLAS FOUNDRY CO INC,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110045449261
110001366806,"E & B PAVING, INC",1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001366806
110001354276,CITIZENS GAS LNG NORTH,1,,http://echo.epa.gov/detailed-facility-report?fid=110001354276
110001129911,INDIANA DUCTILE,1,,http://echo.epa.gov/detailed-facility-report?fid=110001129911
110007362353,PENDLETON CORRECTIONAL FACILITY,1,,http://echo.epa.gov/detailed-facility-report?fid=110007362353
110000402733,3M - HARTFORD CITY,1,,http://echo.epa.gov/detailed-facility-report?fid=110000402733
