,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL
15838,JOHNS USED AUTO PARTS,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110024330188
16395,RELIABLE ELECTRO PLATING INC,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000700616
21292,ISP FREETOWN FINE CHEMICALS,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001939779
2351,HEAT TRANSFER PRODUCTS,12,,http://echo.epa.gov/detailed-facility-report?fid=110002086910
7718,SWEET METAL FINISHING,12,,http://echo.epa.gov/detailed-facility-report?fid=110003370548
8780,WDC HOLDINGS INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110000700607
14687,LASELL COLLEGE,12,,http://echo.epa.gov/detailed-facility-report?fid=110007369855
19415,SOUTH SHORE MILLWORK,12,,http://echo.epa.gov/detailed-facility-report?fid=110056488894
19743,CH YATES RUBBER CORP,12,,http://echo.epa.gov/detailed-facility-report?fid=110069376268
25338,MCCABE SAND & GRAVEL,12,,http://echo.epa.gov/detailed-facility-report?fid=110001952030
26479,METALOR TECHNOLOGIES USA,12,,http://echo.epa.gov/detailed-facility-report?fid=110000311519
19354,HARVARD VANGUARD MEDICAL ASSOCIATES,10,,http://echo.epa.gov/detailed-facility-report?fid=110043945381
36296,TRAFFIC MARKINGS INC,7,1.0,http://echo.epa.gov/detailed-facility-report?fid=110069993356
14046,GARELICK FARMS MILK PRODUCTION FACILITY,7,,http://echo.epa.gov/detailed-facility-report?fid=110000310583
31104,SCHWARZKOPF TECHNOLOGIES CORP,5,,http://echo.epa.gov/detailed-facility-report?fid=110003496388
30321,NEW ENGLAND ROPES,4,1.0,http://echo.epa.gov/detailed-facility-report?fid=110009588703
34583,CAMGER COATINGS SYSTEMS,4,,http://echo.epa.gov/detailed-facility-report?fid=110000310645
38444,VARNEY BROTHERS SAND & GRAVEL INC,4,,http://echo.epa.gov/detailed-facility-report?fid=110002017638
2550,V&S TAUNTON GALVANIZING LLC,3,,http://echo.epa.gov/detailed-facility-report?fid=110022831952
13898,VACUMET CORP. PAPERS DIVISION,3,,http://echo.epa.gov/detailed-facility-report?fid=110001942391
