,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL
10158,RIVERVIEW LAND PERSERVE,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110003616196
12456,BASF CORP,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000494019
15323,AW TECHNICAL CENTER USA INC (AW-TC),12,,http://echo.epa.gov/detailed-facility-report?fid=110041891307
19925,EASTERN MI UNIVERSITY,12,,http://echo.epa.gov/detailed-facility-report?fid=110007275046
47657,WYANDOTTE MUNICIPAL POWER PLANT,12,,http://echo.epa.gov/detailed-facility-report?fid=110001680823
55412,DETROIT EDISON CO TRENTON CHANNEL POWER PLANT,12,,http://echo.epa.gov/detailed-facility-report?fid=110000406267
53792,AK STEEL DEARBORN WORKS,3,,http://echo.epa.gov/detailed-facility-report?fid=110060497001
60726,FORD MOTOR CO DEARBORN ENGINE PLANT,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110050297717
43061,VOSS INDUSTRIES-VOSS TAYLOR DIV,2,,http://echo.epa.gov/detailed-facility-report?fid=110070050147
2819,U S SILICA CO,1,,http://echo.epa.gov/detailed-facility-report?fid=110003596902
3632,"DETROIT WATER & SEWERAGE, SOUTHWEST PLANT",1,,http://echo.epa.gov/detailed-facility-report?fid=110013867681
4661,UNIVERSITY MI DEARBORN,1,,http://echo.epa.gov/detailed-facility-report?fid=110001301145
8762,GREAT LAKES WATER AUTHORITY - SPRINGWELLS PLANT,1,,http://echo.epa.gov/detailed-facility-report?fid=110000569661
12449,CADILLAC ASPHALT LLC,1,,http://echo.epa.gov/detailed-facility-report?fid=110001830261
30532,TOYOTA MOTOR ENGINEERING & MANUFACTURING NA,1,,http://echo.epa.gov/detailed-facility-report?fid=110001848485
47600,HURON VALLEY STEEL CORP,1,,http://echo.epa.gov/detailed-facility-report?fid=110001680967
53794,AUTOMOTIVE COMPONENTS HOLDINGS LLC SALINE PLANT,1,,http://echo.epa.gov/detailed-facility-report?fid=110000592993
49269,OAKWOOD HOSPITAL & MEDICAL CENTER,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110028029577
474,CHRYSLER CORP - TRENTON ENGINE PLANT,0,,http://echo.epa.gov/detailed-facility-report?fid=110022411264
828,YCUA REGIONAL WASTEWATER TREATMENT PLANT,0,,http://echo.epa.gov/detailed-facility-report?fid=110000540861
