,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL
640,"WHITE MOUNTAIN BIODIESEL, INC",10,1.0,http://echo.epa.gov/detailed-facility-report?fid=110056255109
6180,BURGESS BIOPOWER,4,3.0,http://echo.epa.gov/detailed-facility-report?fid=110057111995
10843,PSNH MERRIMACK GENERATING STATION,2,,http://echo.epa.gov/detailed-facility-report?fid=110000313802
10478,PRIMA AMERICA CORPORATION,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110046597072
11926,COMPLETE COVERAGE WOODPRIMING,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001524093
19776,HEBRON BRIDGEWATER RESOURCE RECOVERY FACILITY,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110010352876
20104,BOSCAWEN SAND AND GRAVEL,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110031533856
2355,"WORTHEN INDUSTRIES, INC. - NYLCO DIVISION",1,,http://echo.epa.gov/detailed-facility-report?fid=110023083973
3598,PLOURDE SAND AND GRAVEL,1,,http://echo.epa.gov/detailed-facility-report?fid=110028119827
5397,DARTMOUTH PRINTING COMPANY,1,,http://echo.epa.gov/detailed-facility-report?fid=110001521773
9204,NH DAS HEALTH & WELFARE BUILDING,1,,http://echo.epa.gov/detailed-facility-report?fid=110038119470
14470,CROTCHED MOUNTAIN REHABILITATION CENTER,1,,http://echo.epa.gov/detailed-facility-report?fid=110001521862
15874,DURGIN & CROWELL LUMBER,1,,http://echo.epa.gov/detailed-facility-report?fid=110012472779
18588,J.H. DUNNING CORPORATION,1,,http://echo.epa.gov/detailed-facility-report?fid=110001979716
19555,FRASER PULP MILL (FORMER ),1,,http://echo.epa.gov/detailed-facility-report?fid=110007681632
23135,BLAKTOP,1,,http://echo.epa.gov/detailed-facility-report?fid=110010352901
10661,DCI FURNITURE,0,3.0,http://echo.epa.gov/detailed-facility-report?fid=110001521700
936,"GMI ASPHALT, LLC",0,2.0,http://echo.epa.gov/detailed-facility-report?fid=110069327400
9385,"HITCHINER MANUFACTURING CO., INC.",0,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000744525
617,OMNI MOUNT WASHINGTON RESORT,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110003893298
