,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL
22528,OLD DUTCH MUSTARD PILGRIM FOODS PLANT,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007131950
16264,INFINITY AVIATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110004105995
5919,COLT RECYCLING,9,,http://echo.epa.gov/detailed-facility-report?fid=110038888264
23615,"MASIMO SEMICONDUCTOR, INC.",5,,http://echo.epa.gov/detailed-facility-report?fid=110001523557
18455,MORGAN ADVANCED CERAMICS INC,4,2.0,http://echo.epa.gov/detailed-facility-report?fid=110004116661
24549,CONCORD LITHO GROUP INC,4,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000313768
18698,TIMKEN AEROSPACE,4,,http://echo.epa.gov/detailed-facility-report?fid=110000313955
22603,BAE SYSTEMS INFORMATION & ELECTRONIC SYSTEMS,4,,http://echo.epa.gov/detailed-facility-report?fid=110000885579
11484,WYMAN-GORDON INVESTMENT CASTINGS INC,3,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000562542
13710,HYPERTHERM INC,3,2.0,http://echo.epa.gov/detailed-facility-report?fid=110001123052
675,NATIONAL APERTURE,3,,http://echo.epa.gov/detailed-facility-report?fid=110004098841
6743,PIKE INDUSTRIES INC,3,,http://echo.epa.gov/detailed-facility-report?fid=110007132806
11687,CARLISLE WIDE PLANK FLOORS,3,,http://echo.epa.gov/detailed-facility-report?fid=110043770434
12783,MPB CORP (DBA TIMKEN AEROSPACE),3,,http://echo.epa.gov/detailed-facility-report?fid=110067041329
16251,LABSPHERE INC,3,,http://echo.epa.gov/detailed-facility-report?fid=110007691603
6958,AVITIDE INC,2,2.0,http://echo.epa.gov/detailed-facility-report?fid=110055080969
1646,NOVO NORDISK US BIO PRODUCTION INC,2,,http://echo.epa.gov/detailed-facility-report?fid=110009422847
6497,TELEFLEX MEDICAL OEM,2,,http://echo.epa.gov/detailed-facility-report?fid=110007682542
9385,"HITCHINER MANUFACTURING CO., INC.",2,,http://echo.epa.gov/detailed-facility-report?fid=110000744525
10264,THE BRONZE CRAFT CORPORATION,2,,http://echo.epa.gov/detailed-facility-report?fid=110000313517
