REGISTRY_ID,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL
110032721482,ROBERT WOOD JOHNSON UNIV HOSPITAL @ RAHWAY,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110032721482
110004139174,PAMARCO INC,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110004139174
110000802953,SETON HALL UNIVERSITY,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000802953
110001934550,LANGER TRANSPORT CORP,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110001934550
110062788425,GENERAL MAGNAPLATE NEW JERSEY INC,12,2.0,http://echo.epa.gov/detailed-facility-report?fid=110062788425
110044943586,KMART #9413,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110044943586
110004163379,NJ INSTITUTE OF TECH,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110004163379
110000318549,SAFETY KLEEN LINDEN RECYCLE CENTER,12,,http://echo.epa.gov/detailed-facility-report?fid=110000318549
110014857431,SAINT PETERS COLLEGE,12,,http://echo.epa.gov/detailed-facility-report?fid=110014857431
110001542037,JERSEY CITY MEDICAL CENTER,12,,http://echo.epa.gov/detailed-facility-report?fid=110001542037
110044838851,1301 WEST BLANCKE STREET ASSOC,12,,http://echo.epa.gov/detailed-facility-report?fid=110044838851
110014994140,NJDOC NORTHERN STATE PRISON,12,,http://echo.epa.gov/detailed-facility-report?fid=110014994140
110007932620,NEWARK LIBERTY INTL AIRPORT,11,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007932620
110000801990,B&B ELECTROPLATING CO INC,11,,http://echo.epa.gov/detailed-facility-report?fid=110000801990
110040929369,TROY CHEMICAL CORP,6,5.0,http://echo.epa.gov/detailed-facility-report?fid=110040929369
110017310266,VA NEW JERSEY HEALTH CARE SYSTEM (EAST ORANGE CAMPUS),6,2.0,http://echo.epa.gov/detailed-facility-report?fid=110017310266
110064182209,RUTGERS UNIVERSITY - RBHS NEWARK CAMPUS,6,2.0,http://echo.epa.gov/detailed-facility-report?fid=110064182209
110012218518,RUTGERS UNIVERSITY - ICPH,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110012218518
110004233437,NATIONAL STEEL RULE,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110004233437
110004142204,ALLSTATE POWER VAC INC,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110004142204
