,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL
16268,NEW YORK METHODIST HOSPITAL,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000807789
120002,BROOKLYN COLLEGE,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110019512099
25,CHOICE CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110004354136
39,ACORN COMMUNITY H.S.,0,,http://echo.epa.gov/detailed-facility-report?fid=110036017609
69,1408 NEW YORK AVENUE BLDG,0,,http://echo.epa.gov/detailed-facility-report?fid=110001603202
2209,CONEY ISLAND WATER POLLUTION CONTROL PLANT,0,,http://echo.epa.gov/detailed-facility-report?fid=110004332464
2603,SUNRISE AUTO BODY,0,,http://echo.epa.gov/detailed-facility-report?fid=110019116927
2826,COURTESY CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110002361872
3005,E & S DRY CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110038450379
3148,AMOCO-65525668005,0,,http://echo.epa.gov/detailed-facility-report?fid=110001573066
3407,KEARNY COLLISION,0,,http://echo.epa.gov/detailed-facility-report?fid=110063990908
3476,GOODY'S CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110004394931
3815,160 PARKSIDE AVE BUILDING,0,,http://echo.epa.gov/detailed-facility-report?fid=110037609031
4106,CAO TIEN CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110004311593
4463,FREEDA,0,,http://echo.epa.gov/detailed-facility-report?fid=110019675564
4792,JOHNNY'S CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110012644745
4974,ONE HMS CLEANERS,0,,http://echo.epa.gov/detailed-facility-report?fid=110002366662
5428,3102 NEWKIRK AVENUE BUILDING,0,,http://echo.epa.gov/detailed-facility-report?fid=110001603239
6070,530 PARKSIDE AVE BUILDING,0,,http://echo.epa.gov/detailed-facility-report?fid=110040834069
8086,MAC'S AUTO COLLISION,0,,http://echo.epa.gov/detailed-facility-report?fid=110019504605
