REGISTRY_ID,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL
110004696213,VOGUE-SWIFT CLEANERS INC,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110004696213
110042042241,ECOLOGICAL SERVICES INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110042042241
110000389758,SALEM LOGISTICS LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110000389758
110000384913,RG STEEL WHEELING LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110000384913
110001146787,AMERICAN STEEL FOUNDRIES SEBRING,12,,http://echo.epa.gov/detailed-facility-report?fid=110001146787
110007706642,UNION CARBIDE CORP,12,,http://echo.epa.gov/detailed-facility-report?fid=110007706642
110001103840,DYER BROTHERS CO INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110001103840
110046261754,ZEE TECH WAREHOUSING AKA ROYAL SEBRING PROPERTIES; SEBRING CHINA,12,,http://echo.epa.gov/detailed-facility-report?fid=110046261754
110032751163,HARRISON CO GARAGE FORMER STORAGE YARD,12,,http://echo.epa.gov/detailed-facility-report?fid=110032751163
110038496712,SOLVAY SPECIALTY POLYMERS USA LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110038496712
110000701606,YONGGONG LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110000701606
110000748656,AK STEEL CORP,12,,http://echo.epa.gov/detailed-facility-report?fid=110000748656
110004698337,SEBRING INDUSTRIAL PLATING CO,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110004698337
110056293309,SKYE METAL RECOVERY INC,5,,http://echo.epa.gov/detailed-facility-report?fid=110056293309
110000384897,CAPITOL MANUFACTURING LANSING FACILITY,4,,http://echo.epa.gov/detailed-facility-report?fid=110000384897
110027242320,HERITAGE-WTI INC,3,,http://echo.epa.gov/detailed-facility-report?fid=110027242320
110022529824,SIX RECYCLING,3,,http://echo.epa.gov/detailed-facility-report?fid=110022529824
110000591583,AMG VANADIUM INC,3,,http://echo.epa.gov/detailed-facility-report?fid=110000591583
110069284170,STEUBENVILLE TRUCK CENTER,2,2.0,http://echo.epa.gov/detailed-facility-report?fid=110069284170
110056973333,ORMET PRIMARY ALUMINUM CORP,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110056973333
