,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL
13079,OG AND E/MUSKOGEE GNRTNG STA,12,4.0,http://echo.epa.gov/detailed-facility-report?fid=110000860854
19067,PRYOR CHEM CO,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000598531
13545,WESTERN FARMERS ELECTRIC COOP,12,,http://echo.epa.gov/detailed-facility-report?fid=110000608236
18614,ARDAGH GLASS INC,10,,http://echo.epa.gov/detailed-facility-report?fid=110007385873
1311,XTO ENERGY INC / LITTLE CITIES CDP AND OBANION 1 25H PR,5,,http://echo.epa.gov/detailed-facility-report?fid=110055573062
8686,XTO ENERGY INC / PETTIJOHN CDP,5,,http://echo.epa.gov/detailed-facility-report?fid=110046384523
827,INTERNATIONAL PAPER - VALLIANT/IP VALLIANT PAPER MILL,2,,http://echo.epa.gov/detailed-facility-report?fid=110000598639
1880,HUBER ENGINEERED WOODS LLC,2,,http://echo.epa.gov/detailed-facility-report?fid=110022523857
5836,MID AMERICAN STEEL AND WIRE CO / MID AMERICAN STEEL ROLLING MILL,2,,http://echo.epa.gov/detailed-facility-report?fid=110022524062
14971,GRAND RIVER DAM AUTH/CHOUTEAU COAL FIRED COMPLEX,2,,http://echo.epa.gov/detailed-facility-report?fid=110000598489
22145,XTO ENERGY INC / BRALLEY CDP,2,,http://echo.epa.gov/detailed-facility-report?fid=110055607829
25754,ONEOK GAS TRANSP LL/RED OAK,2,,http://echo.epa.gov/detailed-facility-report?fid=110007169116
8044,MADILL GAS PROCESSING LLC/MADILL PLT,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007338522
8206,CARDINAL ARKOMA MID/COALGATE TUPELO GAS,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110040505085
12952,DAL-ITALIA,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110020515138
216,ENERFIN RESOURCES I LP / HASKELL BOOSTER STATION,1,,http://echo.epa.gov/detailed-facility-report?fid=110012160400
976,OKLAHOMA MILITARY DEPARTMENT / DURANT READINESS CENTER,1,,http://echo.epa.gov/detailed-facility-report?fid=110070236283
2158,ROLL OFFS USA,1,,http://echo.epa.gov/detailed-facility-report?fid=110007735576
2187,ONEOK GAS GATHERING/POTATO HILLS CMPSR S,1,,http://echo.epa.gov/detailed-facility-report?fid=110007031915
2309,HUGHES CHRISTENSEN CO / BETA TEST FACLTY,1,,http://echo.epa.gov/detailed-facility-report?fid=110030746183
