,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL
660,DUKE ENERGY LEE STEAM STATION,12,,http://echo.epa.gov/detailed-facility-report?fid=110004937864
13009,SANTEE COOPER JOHN RAINEY GENERATING STATION,3,,http://echo.epa.gov/detailed-facility-report?fid=110017413734
5002,GEORGIA-PACIFIC WOOD PRODUCTS LLC (MCCORMICK SAWMILL),2,,http://echo.epa.gov/detailed-facility-report?fid=110070156368
6358,VALENITE,2,,http://echo.epa.gov/detailed-facility-report?fid=110000604463
1166,ROYAL ADHESIVES & SEALANTS LLC,1,4.0,http://echo.epa.gov/detailed-facility-report?fid=110015824278
8090,AARON INDUSTRIES,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110043532549
173,MARATHON OIL COMPANY,1,,http://echo.epa.gov/detailed-facility-report?fid=110001140042
1193,WILBERT PLASTIC SERVICES,1,,http://echo.epa.gov/detailed-facility-report?fid=110000604436
4369,EDDY CAROLINA PRIDE LLC,1,,http://echo.epa.gov/detailed-facility-report?fid=110000354599
5025,MICHELIN NA INC - SANDY SPRINGS,1,,http://echo.epa.gov/detailed-facility-report?fid=110014402315
6271,THOMAS CONCRETE ANDERSON,1,,http://echo.epa.gov/detailed-facility-report?fid=110007173511
6736,SELF MEMORIAL HOSPITAL,1,,http://echo.epa.gov/detailed-facility-report?fid=110007023309
6855,SPECIALTY VERMICULITE CORP ENOREE SITE,1,,http://echo.epa.gov/detailed-facility-report?fid=110007222139
6967,CORNERSTONE CONCRETE - EDGEFIELD PLANT,1,,http://echo.epa.gov/detailed-facility-report?fid=110056427754
8230,MICHELIN NORTH AMERICA ANDERSON,1,,http://echo.epa.gov/detailed-facility-report?fid=110002183887
8671,SANTEE COOPER HONEA PATH,1,,http://echo.epa.gov/detailed-facility-report?fid=110012163657
10905,JOHNSON CONTROLS W UNION,1,,http://echo.epa.gov/detailed-facility-report?fid=110002181843
11131,HANSON AGGREGATES SOUTHEAST INCORPORATED  ANDERSON QUARRY,1,,http://echo.epa.gov/detailed-facility-report?fid=110002233155
11455,METROCON INC,1,,http://echo.epa.gov/detailed-facility-report?fid=110056425239
11948,CERAMTEC NORTH AMERICA,1,,http://echo.epa.gov/detailed-facility-report?fid=110000353180
